,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph1,High Reward,0.3333333333333333,2.084282605566694,0.625,1255.391428558921,1.0251518800433101,0.375,0.041666666666666664
1,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph1,Low Reward,0.0625,0.6971230051142673,0.5,1222.849062505702,0.7808181546074788,0.25,0.1875
2,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph2,High Reward,0.7708333333333334,3.323064353652631,0.4375,1938.7056666659191,0.42225891855168457,0.8125,0.041666666666666664
3,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph2,Low Reward,0.4375,1.8756657721820664,0.4375,1962.854999994826,0.28425359752725043,0.625,0.1875
4,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph3,High Reward,0.7708333333333334,3.323064353652631,0.5,720.1296874991385,0.42225891855168457,0.8125,0.041666666666666664
5,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph3,Low Reward,0.625,2.4463255344699255,0.3125,742.7525000093738,-0.0,0.8125,0.1875
0,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph1,High Reward,0.275177304964539,1.440388551389999,0.4375,1205.4625000003725,0.4780363898121595,0.4666666666666667,0.19148936170212766
1,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph1,Low Reward,0.0625,0.6971230051142673,0.875,1115.9875000026077,0.7808181546074788,0.25,0.1875
2,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph2,High Reward,0.05851063829787234,0.6713558115730904,0.4375,680.3375000022352,0.7734553979566359,0.25,0.19148936170212766
3,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph2,Low Reward,0.3125,1.5462390663042116,0.375,707.9250000007451,0.443573279509438,0.5,0.1875
4,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph3,High Reward,0.18351063829787234,1.1726115364441976,0.4375,725.8062500022352,0.5955302048407826,0.375,0.19148936170212766
5,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph3,Low Reward,-0.0625,-0.7803233337190425,0.5625,601.5874999966472,1.018747969697442,0.125,0.1875
0,5e373610de69fe6b9a09bc4f,Reward_Objects,Object,Ph1,High Reward,0.3333333333333333,2.084282605566694,0.5625,1566.5,1.0251518800433101,0.375,0.041666666666666664
1,5e373610de69fe6b9a09bc4f,Reward_Objects,Animal,Ph1,Low Reward,0.27083333333333337,1.4635895636671858,0.4375,1396.7312500029802,0.5623661253559359,0.4375,0.16666666666666666
2,5e373610de69fe6b9a09bc4f,Reward_Objects,Object,Ph2,High Reward,0.20833333333333334,1.7239333579536826,0.4375,1623.1062499918044,1.2030770731591633,0.25,0.041666666666666664
