,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph1,High Reward,0.3333333333333333,2.084282605566694,0.625,1255.391428558921,1.0251518800433101,0.375,0.041666666666666664
1,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph1,Low Reward,0.0625,0.6971230051142673,0.5,1222.849062505702,0.7808181546074788,0.25,0.1875
2,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph2,High Reward,0.7708333333333334,3.323064353652631,0.4375,1938.7056666659191,0.42225891855168457,0.8125,0.041666666666666664
3,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph2,Low Reward,0.4375,1.8756657721820664,0.4375,1962.854999994826,0.28425359752725043,0.625,0.1875
4,567f59e0d18c640011e7ac0b,Reward_Objects,Object,Ph3,High Reward,0.7708333333333334,3.323064353652631,0.5,720.1296874991385,0.42225891855168457,0.8125,0.041666666666666664
5,567f59e0d18c640011e7ac0b,Reward_Objects,Animal,Ph3,Low Reward,0.625,2.4463255344699255,0.3125,742.7525000093738,-0.0,0.8125,0.1875
0,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph1,High Reward,0.3148148148148148,1.5554049115337525,0.4375,1205.4625000003725,0.4478899094417947,0.5,0.18518518518518517
1,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph1,Low Reward,0.1142857142857143,1.1389568059808473,0.875,1115.9875000026077,1.1046245784443012,0.2,0.08571428571428572
2,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph2,High Reward,0.08754208754208753,0.8235595951772212,0.4375,680.3375000022352,0.7501825827334132,0.2727272727272727,0.18518518518518517
3,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph2,Low Reward,0.21428571428571427,1.4993191080007013,0.375,707.9250000007451,0.9460142180118646,0.3,0.08571428571428572
4,5f0f2ff0762218000970c967,Reward_Animals,Animal,Ph3,High Reward,0.25925925925925924,1.4045491542125634,0.4375,725.8062500022352,0.5177450588827257,0.4444444444444444,0.18518518518518517
5,5f0f2ff0762218000970c967,Reward_Animals,Object,Ph3,Low Reward,0.02539682539682539,0.5749884404982666,0.5625,601.5874999966472,1.294134136081519,0.1111111111111111,0.08571428571428572
0,5e373610de69fe6b9a09bc4f,Reward_Objects,Object,Ph1,High Reward,0.42857142857142855,2.824854185829841,0.5625,1566.5,1.2531801219167729,0.42857142857142855,0.0
1,5e373610de69fe6b9a09bc4f,Reward_Objects,Animal,Ph1,Low Reward,0.38694638694638694,1.795044681261591,0.4375,1396.7312500029802,0.4666990734678646,0.5384615384615384,0.15151515151515152
2,5e373610de69fe6b9a09bc4f,Reward_Objects,Object,Ph2,High Reward,0.2727272727272727,2.3935192526057945,0.4375,1623.1062499918044,1.4654666103120388,0.2727272727272727,0.0
