,UserID,Condition,Value
0,567f59e0d18c640011e7ac0b,Age,33
1,567f59e0d18c640011e7ac0b,Sex,SexFemale
2,567f59e0d18c640011e7ac0b,Overall Match Accuracy,0.46875
3,567f59e0d18c640011e7ac0b,Overall Match RT,1286.8981868128426
4,567f59e0d18c640011e7ac0b,CR Overall,0.5
5,567f59e0d18c640011e7ac0b,HR Overall,0.6145833333333334
6,567f59e0d18c640011e7ac0b,FA Overall,0.11458333333333333
7,567f59e0d18c640011e7ac0b,CR Overall High Reward,0.625
8,567f59e0d18c640011e7ac0b,CR Overall Low Reward,0.375
9,567f59e0d18c640011e7ac0b,CR Ph1 High Reward,0.3333333333333333
10,567f59e0d18c640011e7ac0b,CR Ph1 Low Reward,0.0625
11,567f59e0d18c640011e7ac0b,CR Ph2 High Reward,0.7708333333333334
12,567f59e0d18c640011e7ac0b,CR Ph2 Low Reward,0.4375
13,567f59e0d18c640011e7ac0b,CR Ph3 High Reward,0.7708333333333334
14,567f59e0d18c640011e7ac0b,CR Ph3 Low Reward,0.625
15,567f59e0d18c640011e7ac0b,DP Overall,2.1651577079919018
16,567f59e0d18c640011e7ac0b,DP Overall High Reward,2.841423527969883
17,567f59e0d18c640011e7ac0b,DP Overall Low Reward,1.7108197425490115
18,567f59e0d18c640011e7ac0b,DP Ph1 High Reward,2.084282605566694
19,567f59e0d18c640011e7ac0b,DP Ph1 Low Reward,0.6971230051142673
20,567f59e0d18c640011e7ac0b,DP Ph2 High Reward,3.323064353652631
21,567f59e0d18c640011e7ac0b,DP Ph2 Low Reward,1.8756657721820664
22,567f59e0d18c640011e7ac0b,DP Ph3 High Reward,3.323064353652631
23,567f59e0d18c640011e7ac0b,DP Ph3 Low Reward,2.4463255344699255
24,567f59e0d18c640011e7ac0b,PHQ Score,0
25,567f59e0d18c640011e7ac0b,PHQ Attention Check,1
26,567f59e0d18c640011e7ac0b,Memory Test RT,1207.3358333354918
27,567f59e0d18c640011e7ac0b,Rewarded Category,Object
0,5f0f2ff0762218000970c967,Age,24
1,5f0f2ff0762218000970c967,Sex,SexFemale
2,5f0f2ff0762218000970c967,Overall Match Accuracy,0.5208333333333334
3,5f0f2ff0762218000970c967,Overall Match RT,839.5177083341405
