,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph1,High Reward,0.22916666666666669,1.553747768993061,0.75,1479.3874999987893,0.9358852691076538,0.3125,0.08333333333333333
1,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph1,Low Reward,0.3541666666666667,1.590443485380698,0.5,1393.8000000002794,0.14582762311097877,0.625,0.2708333333333333
2,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph2,High Reward,0.22916666666666669,1.553747768993061,0.4375,1611.5750000011176,0.9358852691076538,0.3125,0.08333333333333333
3,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph2,Low Reward,0.3541666666666667,1.590443485380698,0.4375,1498.8500000005588,0.14582762311097877,0.625,0.2708333333333333
4,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph3,High Reward,0.16666666666666669,1.3517230378824567,0.4375,1131.206250000745,1.0287419386483598,0.25,0.08333333333333333
5,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph3,Low Reward,0.4791666666666667,1.9554721940543531,0.5625,1183.9749999996275,-0.03209757000487451,0.75,0.2708333333333333
0,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph1,High Reward,0.375,1.7108197425490115,0.4375,1462.4312499947846,0.3649179372043526,0.5625,0.1875
1,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph1,Low Reward,0.3333333333333333,1.5203678987735494,0.5,1388.2000000048429,-0.057340500458473,0.6875,0.3541666666666667
2,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph2,High Reward,0.25,1.375521682218,0.5,1737.2375000026077,0.5222286218145233,0.4375,0.1875
3,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph2,Low Reward,0.3333333333333333,1.5203678987735494,0.5,1907.981249993667,-0.057340500458473,0.6875,0.3541666666666667
4,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph3,High Reward,0.1875,1.1902397512023881,0.625,1532.1187500022352,0.6028929614916255,0.375,0.1875
5,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph3,Low Reward,0.20833333333333331,1.1455424385850106,0.5,1434.8125000018626,0.10839236279377641,0.5625,0.3541666666666667
0,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph1,High Reward,0.5625,2.2330493777156364,0.6875,1347.087499999674,-0.10632840441139713,0.8125,0.25
1,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph1,Low Reward,0.23333333333333328,1.254227348133677,0.5625,1362.8124999998836,-0.31146286160504383,0.7333333333333333,0.5
2,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph2,High Reward,0.3125,1.4870263843998484,0.5625,1462.1125000003958,0.2585895327929555,0.5625,0.25
3,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph2,Low Reward,0.25,1.3133809198203332,0.4375,1375.7312500000698,-0.33724487509804085,0.75,0.5
4,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph3,High Reward,0.2833333333333333,1.4068310292324007,0.5625,1249.2937500001863,0.2954190081444763,0.5333333333333333,0.25
5,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph3,Low Reward,0.1875,1.092933981094687,0.3125,1312.1437500000466,-0.24438820555733476,0.6875,0.5
0,5f2ad6fb63f3663c76795f24,Reward_Animals,Animal,Ph1,High Reward,0.5208333333333334,2.2482269886825565,0.5,1579.200000000128,0.46976109854936077,0.625,0.10416666666666667
1,5f2ad6fb63f3663c76795f24,Reward_Animals,Object,Ph1,Low Reward,0.4791666666666667,2.211702127623286,0.5,1517.568750000035,0.6128417212452337,0.5625,0.08333333333333333
2,5f2ad6fb63f3663c76795f24,Reward_Animals,Animal,Ph2,High Reward,0.4583333333333333,2.08673488096984,0.6875,1470.1687499999534,0.5504254382264631,0.5625,0.10416666666666667
3,5f2ad6fb63f3663c76795f24,Reward_Animals,Object,Ph2,Low Reward,0.10416666666666667,1.1017610885603752,0.625,1587.2062500001048,1.135070343059757,0.1875,0.08333333333333333
4,5f2ad6fb63f3663c76795f24,Reward_Animals,Animal,Ph3,High Reward,0.3958333333333333,1.9286267435432622,0.75,1394.2437499998487,0.6290807805315484,0.5,0.10416666666666667
5,5f2ad6fb63f3663c76795f24,Reward_Animals,Object,Ph3,Low Reward,0.10416666666666667,1.1017610885603752,0.25,1324.9875000001048,1.135070343059757,0.1875,0.08333333333333333
0,595bb42745265c000166d399,Reward_Objects,Object,Ph1,High Reward,0.0625,0.9561417083326922,0.375,985.2625000029802,1.342234962364277,0.125,0.0625
1,595bb42745265c000166d399,Reward_Objects,Animal,Ph1,Low Reward,0.18749999999999997,1.2551779689464369,0.5625,1120.0625,0.7425998755327552,0.3333333333333333,0.14583333333333334
2,595bb42745265c000166d399,Reward_Objects,Object,Ph2,High Reward,0.1875,1.5169022865589596,0.5625,1109.4624999985099,1.104305147274314,0.25,0.0625
3,595bb42745265c000166d399,Reward_Objects,Animal,Ph2,Low Reward,0.18749999999999997,1.2551779689464369,0.4375,996.3875000029802,0.7425998755327552,0.3333333333333333,0.14583333333333334
4,595bb42745265c000166d399,Reward_Objects,Object,Ph3,High Reward,0.25,1.7117350470237862,0.75,652.2249999940395,1.011448477733608,0.3125,0.0625
5,595bb42745265c000166d399,Reward_Objects,Animal,Ph3,Low Reward,0.04166666666666666,0.6149908726463342,0.5,675.2062500044703,0.9708095053944643,0.1875,0.14583333333333334
0,60d332d15ea0b41e6603bba3,Reward_Objects,Object,Ph1,High Reward,0.375,2.04797266212478,0.625,1548.0250000400702,0.8457156144813585,0.4375,0.0625
