,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph1,High Reward,0.3012820512820513,1.7572778728390117,0.75,1479.3874999987893,0.8381876796109157,0.38461538461538464,0.08333333333333333
1,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph1,Low Reward,0.5138888888888888,2.2106763176840474,0.5,1393.8000000002794,-0.4510004924414872,0.8888888888888888,0.375
2,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph2,High Reward,0.21666666666666667,1.5157926509436552,0.4375,1611.5750000011176,0.9536973199043395,0.3,0.08333333333333333
3,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph2,Low Reward,0.625,3.351364749851486,0.4375,1498.8500000005588,-1.0038542550382328,1.0,0.375
4,60cf9343d7f9684b8c357847,Reward_Objects,Object,Ph3,High Reward,0.0984848484848485,1.075027350998942,0.4375,1131.206250000745,1.1457259978190115,0.18181818181818182,0.08333333333333333
5,60cf9343d7f9684b8c357847,Reward_Objects,Animal,Ph3,Low Reward,0.625,3.351364749851486,0.5625,1183.9749999996275,-1.0038542550382328,1.0,0.375
0,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph1,High Reward,0.4111111111111111,2.3658567424141044,0.4375,1462.4312499947846,0.9868124673488884,0.4444444444444444,0.03333333333333333
1,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph1,Low Reward,0.6666666666666666,3.4734243892848595,0.5,1388.2000000048429,0.9478102873726917,0.6666666666666666,0.0
2,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph2,High Reward,0.3666666666666667,2.2519971491669835,0.5,1737.2375000026077,1.0436308694758571,0.4,0.03333333333333333
3,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph2,Low Reward,1.0,5.700868247916701,0.5,1907.981249993667,-0.0,1.0,0.0
4,60d105f67c7d93dcbeb37474,Reward_Animals,Animal,Ph3,High Reward,0.38333333333333336,2.294969403756293,0.625,1532.1187500022352,1.0221715150319197,0.4166666666666667,0.03333333333333333
5,60d105f67c7d93dcbeb37474,Reward_Animals,Object,Ph3,Low Reward,0.4,2.7494552762948796,0.5,1434.8125000018626,1.2898474885883202,0.4,0.0
0,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph1,High Reward,0.6363636363636365,2.4892586311911855,0.6875,1347.087499999674,-1.1102230246251565e-16,0.8181818181818182,0.18181818181818182
1,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph1,Low Reward,0.18461538461538463,1.1659399515605746,0.5625,1362.8124999998836,-0.5675012328470539,0.8,0.6153846153846154
2,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph2,High Reward,0.595959595959596,2.3447562218518,0.5625,1462.1125000003958,0.07187409737549899,0.7777777777777778,0.18181818181818182
3,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph2,Low Reward,0.16239316239316237,1.070968828356799,0.4375,1375.7312500000698,-0.5290454529537902,0.7777777777777778,0.6153846153846154
4,5f84dc8091ef6b1a71d45d30,Reward_Objects,Object,Ph3,High Reward,0.5324675324675325,2.1457540916375266,0.5625,1249.2937500001863,0.17125452330226099,0.7142857142857143,0.18181818181818182
5,5f84dc8091ef6b1a71d45d30,Reward_Objects,Animal,Ph3,Low Reward,0.3846153846153846,2.7084785609627615,0.3125,1312.1437500000466,-1.3098645530810171,1.0,0.6153846153846154
0,5f2ad6fb63f3663c76795f24,Reward_Animals,Animal,Ph1,High Reward,0.5659340659340659,2.464335723782354,0.5,1579.200000000128,0.5299852577361388,0.6428571428571429,0.07692307692307693
1,5f2ad6fb63f3663c76795f24,Reward_Animals,Object,Ph1,Low Reward,0.538109756097561,2.8057706349604192,0.5,1517.568750000035,0.9065973092800792,0.5625,0.024390243902439025
2,5f2ad6fb63f3663c76795f24,Reward_Animals,Animal,Ph2,High Reward,0.5480769230769231,2.416580131444234,0.6875,1470.1687499999534,0.5537187541542361,0.625,0.07692307692307693
3,5f2ad6fb63f3663c76795f24,Reward_Animals,Object,Ph2,Low Reward,0.175609756097561,1.7974632686450518,0.625,1587.2062500001048,1.4060632683716217,0.2,0.024390243902439025
