,UserID,Condition,Value
0,60cf9343d7f9684b8c357847,Age,21
1,60cf9343d7f9684b8c357847,Sex,SexFemale
2,60cf9343d7f9684b8c357847,Overall Match Accuracy,0.5208333333333334
3,60cf9343d7f9684b8c357847,Overall Match RT,1383.132291666853
4,60cf9343d7f9684b8c357847,CR Overall,0.30208333333333337
5,60cf9343d7f9684b8c357847,HR Overall,0.4791666666666667
6,60cf9343d7f9684b8c357847,FA Overall,0.17708333333333334
7,60cf9343d7f9684b8c357847,CR Overall High Reward,0.20833333333333337
8,60cf9343d7f9684b8c357847,CR Overall Low Reward,0.3958333333333333
9,60cf9343d7f9684b8c357847,CR Ph1 High Reward,0.22916666666666669
10,60cf9343d7f9684b8c357847,CR Ph1 Low Reward,0.3541666666666667
11,60cf9343d7f9684b8c357847,CR Ph2 High Reward,0.22916666666666669
12,60cf9343d7f9684b8c357847,CR Ph2 Low Reward,0.3541666666666667
13,60cf9343d7f9684b8c357847,CR Ph3 High Reward,0.16666666666666669
14,60cf9343d7f9684b8c357847,CR Ph3 Low Reward,0.4791666666666667
15,60cf9343d7f9684b8c357847,DP Overall,1.532558134587501
16,60cf9343d7f9684b8c357847,DP Overall High Reward,1.4899034958289537
17,60cf9343d7f9684b8c357847,DP Overall Low Reward,1.707273216309014
18,60cf9343d7f9684b8c357847,DP Ph1 High Reward,1.553747768993061
19,60cf9343d7f9684b8c357847,DP Ph1 Low Reward,1.590443485380698
20,60cf9343d7f9684b8c357847,DP Ph2 High Reward,1.553747768993061
21,60cf9343d7f9684b8c357847,DP Ph2 Low Reward,1.590443485380698
22,60cf9343d7f9684b8c357847,DP Ph3 High Reward,1.3517230378824567
23,60cf9343d7f9684b8c357847,DP Ph3 Low Reward,1.9554721940543531
24,60cf9343d7f9684b8c357847,PHQ Score,0
25,60cf9343d7f9684b8c357847,PHQ Attention Check,1
26,60cf9343d7f9684b8c357847,Memory Test RT,1560.9984374988514
27,60cf9343d7f9684b8c357847,Rewarded Category,Object
0,60d105f67c7d93dcbeb37474,Age,22
1,60d105f67c7d93dcbeb37474,Sex,SexFemale
2,60d105f67c7d93dcbeb37474,Overall Match Accuracy,0.5104166666666666
3,60d105f67c7d93dcbeb37474,Overall Match RT,1577.1302083333333
4,60d105f67c7d93dcbeb37474,CR Overall,0.28125000000000006
5,60d105f67c7d93dcbeb37474,HR Overall,0.5520833333333334
6,60d105f67c7d93dcbeb37474,FA Overall,0.2708333333333333
7,60d105f67c7d93dcbeb37474,CR Overall High Reward,0.2708333333333333
8,60d105f67c7d93dcbeb37474,CR Overall Low Reward,0.2916666666666667
9,60d105f67c7d93dcbeb37474,CR Ph1 High Reward,0.375
10,60d105f67c7d93dcbeb37474,CR Ph1 Low Reward,0.3333333333333333
11,60d105f67c7d93dcbeb37474,CR Ph2 High Reward,0.25
12,60d105f67c7d93dcbeb37474,CR Ph2 Low Reward,0.3333333333333333
13,60d105f67c7d93dcbeb37474,CR Ph3 High Reward,0.1875
14,60d105f67c7d93dcbeb37474,CR Ph3 Low Reward,0.20833333333333331
15,60d105f67c7d93dcbeb37474,DP Overall,1.388151089920313
16,60d105f67c7d93dcbeb37474,DP Overall High Reward,1.4335596013676413
17,60d105f67c7d93dcbeb37474,DP Overall Low Reward,1.3958581547281272
18,60d105f67c7d93dcbeb37474,DP Ph1 High Reward,1.7108197425490115
19,60d105f67c7d93dcbeb37474,DP Ph1 Low Reward,1.5203678987735494
20,60d105f67c7d93dcbeb37474,DP Ph2 High Reward,1.375521682218
21,60d105f67c7d93dcbeb37474,DP Ph2 Low Reward,1.5203678987735494
22,60d105f67c7d93dcbeb37474,DP Ph3 High Reward,1.1902397512023881
23,60d105f67c7d93dcbeb37474,DP Ph3 Low Reward,1.1455424385850106
24,60d105f67c7d93dcbeb37474,PHQ Score,2
25,60d105f67c7d93dcbeb37474,PHQ Attention Check,1
26,60d105f67c7d93dcbeb37474,Memory Test RT,2040.2249999997828
27,60d105f67c7d93dcbeb37474,Rewarded Category,Animal
0,5f84dc8091ef6b1a71d45d30,Age,27
1,5f84dc8091ef6b1a71d45d30,Sex,SexMale
2,5f84dc8091ef6b1a71d45d30,Overall Match Accuracy,0.5208333333333334
3,5f84dc8091ef6b1a71d45d30,Overall Match RT,1351.530208333376
4,5f84dc8091ef6b1a71d45d30,CR Overall,0.3058510638297872
5,5f84dc8091ef6b1a71d45d30,HR Overall,0.6808510638297872
6,5f84dc8091ef6b1a71d45d30,FA Overall,0.375
7,5f84dc8091ef6b1a71d45d30,CR Overall High Reward,0.38829787234042556
8,5f84dc8091ef6b1a71d45d30,CR Overall Low Reward,0.22340425531914898
9,5f84dc8091ef6b1a71d45d30,CR Ph1 High Reward,0.5625
10,5f84dc8091ef6b1a71d45d30,CR Ph1 Low Reward,0.23333333333333328
11,5f84dc8091ef6b1a71d45d30,CR Ph2 High Reward,0.3125
12,5f84dc8091ef6b1a71d45d30,CR Ph2 Low Reward,0.25
13,5f84dc8091ef6b1a71d45d30,CR Ph3 High Reward,0.2833333333333333
14,5f84dc8091ef6b1a71d45d30,CR Ph3 Low Reward,0.1875
15,5f84dc8091ef6b1a71d45d30,DP Overall,1.4403340667333442
16,5f84dc8091ef6b1a71d45d30,DP Overall High Reward,1.6942297023090236
17,5f84dc8091ef6b1a71d45d30,DP Overall Low Reward,1.219237140277829
18,5f84dc8091ef6b1a71d45d30,DP Ph1 High Reward,2.2330493777156364
19,5f84dc8091ef6b1a71d45d30,DP Ph1 Low Reward,1.254227348133677
20,5f84dc8091ef6b1a71d45d30,DP Ph2 High Reward,1.4870263843998484
21,5f84dc8091ef6b1a71d45d30,DP Ph2 Low Reward,1.3133809198203332
22,5f84dc8091ef6b1a71d45d30,DP Ph3 High Reward,1.4068310292324007
23,5f84dc8091ef6b1a71d45d30,DP Ph3 Low Reward,1.092933981094687
24,5f84dc8091ef6b1a71d45d30,PHQ Score,1
25,5f84dc8091ef6b1a71d45d30,PHQ Attention Check,1
26,5f84dc8091ef6b1a71d45d30,Memory Test RT,1659.06894736838
27,5f84dc8091ef6b1a71d45d30,Rewarded Category,Object
0,5f2ad6fb63f3663c76795f24,Age,25
1,5f2ad6fb63f3663c76795f24,Sex,SexMale
2,5f2ad6fb63f3663c76795f24,Overall Match Accuracy,0.5520833333333334
3,5f2ad6fb63f3663c76795f24,Overall Match RT,1478.8958333333624
4,5f2ad6fb63f3663c76795f24,CR Overall,0.34375
5,5f2ad6fb63f3663c76795f24,HR Overall,0.4375
6,5f2ad6fb63f3663c76795f24,FA Overall,0.09375
7,5f2ad6fb63f3663c76795f24,CR Overall High Reward,0.4583333333333333
8,5f2ad6fb63f3663c76795f24,CR Overall Low Reward,0.22916666666666669
9,5f2ad6fb63f3663c76795f24,CR Ph1 High Reward,0.5208333333333334
10,5f2ad6fb63f3663c76795f24,CR Ph1 Low Reward,0.4791666666666667
11,5f2ad6fb63f3663c76795f24,CR Ph2 High Reward,0.4583333333333333
12,5f2ad6fb63f3663c76795f24,CR Ph2 Low Reward,0.10416666666666667
13,5f2ad6fb63f3663c76795f24,CR Ph3 High Reward,0.3958333333333333
14,5f2ad6fb63f3663c76795f24,CR Ph3 Low Reward,0.10416666666666667
15,5f2ad6fb63f3663c76795f24,DP Overall,1.8298895259751453
16,5f2ad6fb63f3663c76795f24,DP Overall High Reward,2.08673488096984
17,5f2ad6fb63f3663c76795f24,DP Overall Low Reward,1.553747768993061
18,5f2ad6fb63f3663c76795f24,DP Ph1 High Reward,2.2482269886825565
19,5f2ad6fb63f3663c76795f24,DP Ph1 Low Reward,2.211702127623286
20,5f2ad6fb63f3663c76795f24,DP Ph2 High Reward,2.08673488096984
21,5f2ad6fb63f3663c76795f24,DP Ph2 Low Reward,1.1017610885603752
22,5f2ad6fb63f3663c76795f24,DP Ph3 High Reward,1.9286267435432622
23,5f2ad6fb63f3663c76795f24,DP Ph3 Low Reward,1.1017610885603752
24,5f2ad6fb63f3663c76795f24,PHQ Score,0
25,5f2ad6fb63f3663c76795f24,PHQ Attention Check,1
26,5f2ad6fb63f3663c76795f24,Memory Test RT,1377.2822916665561
27,5f2ad6fb63f3663c76795f24,Rewarded Category,Animal
0,595bb42745265c000166d399,Age,31
1,595bb42745265c000166d399,Sex,SexFemale
2,595bb42745265c000166d399,Overall Match Accuracy,0.53125
3,595bb42745265c000166d399,Overall Match RT,923.1010416671634
4,595bb42745265c000166d399,CR Overall,0.1511524822695035
5,595bb42745265c000166d399,HR Overall,0.2553191489361702
6,595bb42745265c000166d399,FA Overall,0.10416666666666667
7,595bb42745265c000166d399,CR Overall High Reward,0.16666666666666666
8,595bb42745265c000166d399,CR Overall Low Reward,0.13677536231884055
9,595bb42745265c000166d399,CR Ph1 High Reward,0.0625
10,595bb42745265c000166d399,CR Ph1 Low Reward,0.18749999999999997
11,595bb42745265c000166d399,CR Ph2 High Reward,0.1875
