,UserID,Condition,Value
0,60cf9343d7f9684b8c357847,Age,21
1,60cf9343d7f9684b8c357847,Sex,SexFemale
2,60cf9343d7f9684b8c357847,Overall Match Accuracy,0.5208333333333334
3,60cf9343d7f9684b8c357847,Overall Match RT,1383.132291666853
4,60cf9343d7f9684b8c357847,CR Overall,0.376271186440678
5,60cf9343d7f9684b8c357847,HR Overall,0.576271186440678
6,60cf9343d7f9684b8c357847,FA Overall,0.2
7,60cf9343d7f9684b8c357847,CR Overall High Reward,0.21078431372549022
8,60cf9343d7f9684b8c357847,CR Overall Low Reward,0.585
9,60cf9343d7f9684b8c357847,CR Ph1 High Reward,0.3012820512820513
10,60cf9343d7f9684b8c357847,CR Ph1 Low Reward,0.5138888888888888
11,60cf9343d7f9684b8c357847,CR Ph2 High Reward,0.21666666666666667
12,60cf9343d7f9684b8c357847,CR Ph2 Low Reward,0.625
13,60cf9343d7f9684b8c357847,CR Ph3 High Reward,0.0984848484848485
14,60cf9343d7f9684b8c357847,CR Ph3 Low Reward,0.625
15,60cf9343d7f9684b8c357847,DP Overall,1.7000024070400543
16,60cf9343d7f9684b8c357847,DP Overall High Reward,1.4975696084463117
17,60cf9343d7f9684b8c357847,DP Overall Low Reward,2.7456881498856567
18,60cf9343d7f9684b8c357847,DP Ph1 High Reward,1.7572778728390117
19,60cf9343d7f9684b8c357847,DP Ph1 Low Reward,2.2106763176840474
20,60cf9343d7f9684b8c357847,DP Ph2 High Reward,1.5157926509436552
21,60cf9343d7f9684b8c357847,DP Ph2 Low Reward,3.351364749851486
22,60cf9343d7f9684b8c357847,DP Ph3 High Reward,1.075027350998942
23,60cf9343d7f9684b8c357847,DP Ph3 Low Reward,3.351364749851486
24,60cf9343d7f9684b8c357847,PHQ Score,0
25,60cf9343d7f9684b8c357847,PHQ Attention Check,1
26,60cf9343d7f9684b8c357847,Memory Test RT,1557.6689075622237
27,60cf9343d7f9684b8c357847,Rewarded Category,Object
0,60d105f67c7d93dcbeb37474,Age,22
1,60d105f67c7d93dcbeb37474,Sex,SexFemale
2,60d105f67c7d93dcbeb37474,Overall Match Accuracy,0.5104166666666666
3,60d105f67c7d93dcbeb37474,Overall Match RT,1577.1302083333333
4,60d105f67c7d93dcbeb37474,CR Overall,0.48655409631019386
5,60d105f67c7d93dcbeb37474,HR Overall,0.5121951219512195
6,60d105f67c7d93dcbeb37474,FA Overall,0.02564102564102564
7,60d105f67c7d93dcbeb37474,CR Overall High Reward,0.38974358974358975
8,60d105f67c7d93dcbeb37474,CR Overall Low Reward,0.6666666666666666
9,60d105f67c7d93dcbeb37474,CR Ph1 High Reward,0.4111111111111111
10,60d105f67c7d93dcbeb37474,CR Ph1 Low Reward,0.6666666666666666
11,60d105f67c7d93dcbeb37474,CR Ph2 High Reward,0.3666666666666667
12,60d105f67c7d93dcbeb37474,CR Ph2 Low Reward,1.0
13,60d105f67c7d93dcbeb37474,CR Ph3 High Reward,0.38333333333333336
14,60d105f67c7d93dcbeb37474,CR Ph3 Low Reward,0.4
15,60d105f67c7d93dcbeb37474,DP Overall,2.6541306287831725
16,60d105f67c7d93dcbeb37474,DP Overall High Reward,2.311398354265611
17,60d105f67c7d93dcbeb37474,DP Overall Low Reward,3.4734243892848595
18,60d105f67c7d93dcbeb37474,DP Ph1 High Reward,2.3658567424141044
19,60d105f67c7d93dcbeb37474,DP Ph1 Low Reward,3.4734243892848595
20,60d105f67c7d93dcbeb37474,DP Ph2 High Reward,2.2519971491669835
21,60d105f67c7d93dcbeb37474,DP Ph2 Low Reward,5.700868247916701
22,60d105f67c7d93dcbeb37474,DP Ph3 High Reward,2.294969403756293
23,60d105f67c7d93dcbeb37474,DP Ph3 Low Reward,2.7494552762948796
24,60d105f67c7d93dcbeb37474,PHQ Score,2
25,60d105f67c7d93dcbeb37474,PHQ Attention Check,1
26,60d105f67c7d93dcbeb37474,Memory Test RT,2059.2875000003723
27,60d105f67c7d93dcbeb37474,Rewarded Category,Animal
0,5f84dc8091ef6b1a71d45d30,Age,27
1,5f84dc8091ef6b1a71d45d30,Sex,SexMale
2,5f84dc8091ef6b1a71d45d30,Overall Match Accuracy,0.5208333333333334
3,5f84dc8091ef6b1a71d45d30,Overall Match RT,1351.530208333376
4,5f84dc8091ef6b1a71d45d30,CR Overall,0.391025641025641
5,5f84dc8091ef6b1a71d45d30,HR Overall,0.8076923076923077
6,5f84dc8091ef6b1a71d45d30,FA Overall,0.4166666666666667
7,5f84dc8091ef6b1a71d45d30,CR Overall High Reward,0.595959595959596
8,5f84dc8091ef6b1a71d45d30,CR Overall Low Reward,0.22461538461538455
9,5f84dc8091ef6b1a71d45d30,CR Ph1 High Reward,0.6363636363636365
10,5f84dc8091ef6b1a71d45d30,CR Ph1 Low Reward,0.18461538461538463
11,5f84dc8091ef6b1a71d45d30,CR Ph2 High Reward,0.595959595959596
12,5f84dc8091ef6b1a71d45d30,CR Ph2 Low Reward,0.16239316239316237
13,5f84dc8091ef6b1a71d45d30,CR Ph3 High Reward,0.5324675324675325
14,5f84dc8091ef6b1a71d45d30,CR Ph3 Low Reward,0.3846153846153846
15,5f84dc8091ef6b1a71d45d30,DP Overall,1.747259619676732
16,5f84dc8091ef6b1a71d45d30,DP Overall High Reward,2.3447562218518
17,5f84dc8091ef6b1a71d45d30,DP Overall Low Reward,1.3433927947746538
18,5f84dc8091ef6b1a71d45d30,DP Ph1 High Reward,2.4892586311911855
19,5f84dc8091ef6b1a71d45d30,DP Ph1 Low Reward,1.1659399515605746
20,5f84dc8091ef6b1a71d45d30,DP Ph2 High Reward,2.3447562218518
21,5f84dc8091ef6b1a71d45d30,DP Ph2 Low Reward,1.070968828356799
22,5f84dc8091ef6b1a71d45d30,DP Ph3 High Reward,2.1457540916375266
23,5f84dc8091ef6b1a71d45d30,DP Ph3 Low Reward,2.7084785609627615
24,5f84dc8091ef6b1a71d45d30,PHQ Score,1
25,5f84dc8091ef6b1a71d45d30,PHQ Attention Check,1
26,5f84dc8091ef6b1a71d45d30,Memory Test RT,1696.1889999999291
27,5f84dc8091ef6b1a71d45d30,Rewarded Category,Object
0,5f2ad6fb63f3663c76795f24,Age,25
1,5f2ad6fb63f3663c76795f24,Sex,SexMale
2,5f2ad6fb63f3663c76795f24,Overall Match Accuracy,0.5520833333333334
3,5f2ad6fb63f3663c76795f24,Overall Match RT,1478.8958333333624
4,5f2ad6fb63f3663c76795f24,CR Overall,0.38037974683544307
5,5f2ad6fb63f3663c76795f24,HR Overall,0.43037974683544306
6,5f2ad6fb63f3663c76795f24,FA Overall,0.05
7,5f2ad6fb63f3663c76795f24,CR Overall High Reward,0.49450549450549447
8,5f2ad6fb63f3663c76795f24,CR Overall Low Reward,0.29379157427937913
9,5f2ad6fb63f3663c76795f24,CR Ph1 High Reward,0.5659340659340659
10,5f2ad6fb63f3663c76795f24,CR Ph1 Low Reward,0.538109756097561
11,5f2ad6fb63f3663c76795f24,CR Ph2 High Reward,0.5480769230769231
12,5f2ad6fb63f3663c76795f24,CR Ph2 Low Reward,0.175609756097561
13,5f2ad6fb63f3663c76795f24,CR Ph3 High Reward,0.38461538461538464
14,5f2ad6fb63f3663c76795f24,CR Ph3 Low Reward,0.12945590994371484
15,5f2ad6fb63f3663c76795f24,DP Overall,2.140788614392061
16,5f2ad6fb63f3663c76795f24,DP Overall High Reward,2.277547398892469
17,5f2ad6fb63f3663c76795f24,DP Overall Low Reward,2.169083661794603
18,5f2ad6fb63f3663c76795f24,DP Ph1 High Reward,2.464335723782354
19,5f2ad6fb63f3663c76795f24,DP Ph1 Low Reward,2.8057706349604192
20,5f2ad6fb63f3663c76795f24,DP Ph2 High Reward,2.416580131444234
21,5f2ad6fb63f3663c76795f24,DP Ph2 Low Reward,1.7974632686450518
22,5f2ad6fb63f3663c76795f24,DP Ph3 High Reward,2.000486859357382
23,5f2ad6fb63f3663c76795f24,DP Ph3 Low Reward,1.6130321278342208
24,5f2ad6fb63f3663c76795f24,PHQ Score,0
25,5f2ad6fb63f3663c76795f24,PHQ Attention Check,1
26,5f2ad6fb63f3663c76795f24,Memory Test RT,1318.4496855344976
27,5f2ad6fb63f3663c76795f24,Rewarded Category,Animal
0,595bb42745265c000166d399,Age,31
1,595bb42745265c000166d399,Sex,SexFemale
2,595bb42745265c000166d399,Overall Match Accuracy,0.53125
3,595bb42745265c000166d399,Overall Match RT,923.1010416671634
4,595bb42745265c000166d399,CR Overall,0.15166569257744011
5,595bb42745265c000166d399,HR Overall,0.2033898305084746
6,595bb42745265c000166d399,FA Overall,0.05172413793103448
7,595bb42745265c000166d399,CR Overall High Reward,0.13472485768500947
8,595bb42745265c000166d399,CR Overall Low Reward,0.17261904761904762
9,595bb42745265c000166d399,CR Ph1 High Reward,0.1411764705882353
10,595bb42745265c000166d399,CR Ph1 Low Reward,0.266025641025641
11,595bb42745265c000166d399,CR Ph2 High Reward,0.12299465240641712
