UserID,Condition,Exclude,Sleep Quality,Value
5c58bb2ce9813700018b0b88,End Survey,0,3.5,"{""Q0"":""I didn't predict it but I wasn't surprised there was another picture task"",""Q1"":""I just did my own style of remembering, some stuff stuck in my mind more than others!"",""Q2"":""3.5""}"
5eb126c5f13db7000855c7b7,End Survey,1,4,"{""Q0"":""Not very"",""Q1"":""I had said all the images out loud yesterday so it may have helped me remember them better"",""Q2"":""4""}"
615b0d3dd95cc4ea99feedc2,End Survey,0,4,"{""Q0"":""fairly suprised"",""Q1"":""i just went with my instinct,some images felt more recognisable than others "",""Q2"":""4""}"
6081aa9dda5d04bf29e19e7e,End Survey,0,1,"{""Q0"":""very"",""Q1"":""tried to remember"",""Q2"":""1""}"
5aeaee620ef2f20001859359,End Survey,0,5,"{""Q0"":""I was not expecting it at all"",""Q1"":""When I did the task yesterday, I tried to memorise certain shapes or blocks of colour for a faster response, so sometimes I remembered these. Other times, I remember thinking funny things about items/animals, so that enhanced memory"",""Q2"":""5""}"
5f0b062853f8960008793934,End Survey,0,4,"{""Q0"":""Quite surprused"",""Q1"":""Trying to remember what pictures looked familiar"",""Q2"":""4""}"
5c5b50e8fbf35700018c8dde,End Survey,0,5,"{""Q0"":""I was surprised by how certain I was on some things, whereas other things felt a lot harder to be sure of."",""Q1"":""I just tried to remember it to be honest!"",""Q2"":""5""}"
61670855a4865f370849daf6,End Survey,0,4,"{""Q0"":""very surprised"",""Q1"":""purely just asking myself if i'd seen it yesterday (using my picture meory)"",""Q2"":""4""}"
60e744c0fee95a255b7b3b7c,End Survey,1,5,"{""Q0"":""i was expecting it to be some form of memory recall"",""Q1"":""i said out loud what each picture was on day 1 to try lodge it in my brain"",""Q2"":""5""}"
615d74e5910ab5aa13e15292,End Survey,0,3,"{""Q0"":""quite surprised"",""Q1"":""just if i remembered them"",""Q2"":""3""}"
615714bae6480413c20d5799,End Survey,0,4,"{""Q0"":""A little"",""Q1"":""Tried to remember whether I had any thoughts or associations of the picture from yesterday"",""Q2"":""4""}"
61583e5838de2383e5d85e8e,End Survey,1,3,"{""Q0"":""I thought that might have been part of test 1 so not very surprised "",""Q1"":""Recognition vs items I was surprised to see; making me believe they weren't present yesterday"",""Q2"":""3""}"
6156edc7c1e67f1d5b4217b1,End Survey,0,2,"{""Q0"":""I had a feeling that this might happen, as psychology tests often tried to deceive you from their true nature in order to study without bias or similar."",""Q1"":""Whether or not I had an immediate recollection of the image or distinct lack of recollection, otherwise I took a few seconds to decide."",""Q2"":""2""}"
6158a393006089c341aea029,End Survey,0,2,"{""Q0"":""very, i could definitely remember most but not certain on others"",""Q1"":""relating to things i liked or had "",""Q2"":""2""}"
615d916c78c5a25a39a73a68,End Survey,0,3,"{""Q0"":""quite aurprised"",""Q1"":""just trying to recall what i had seen yesterday"",""Q2"":""3""}"
