,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,5c58bb2ce9813700018b0b88,Reward_Animals,Animal,Ph1,High Reward,0.2333333333333333,1.4199460580856271,0.9333333333333333,509.68571431296215,0.7257332218622905,0.36666666666666664,0.13333333333333333
1,5c58bb2ce9813700018b0b88,Reward_Animals,Object,Ph1,Low Reward,0.6,2.4055073504622446,0.8333333333333334,492.9884615769753,0.24392294671334885,0.7333333333333333,0.13333333333333333
2,5c58bb2ce9813700018b0b88,Reward_Animals,Animal,Ph2,High Reward,0.5666666666666667,2.306675182989952,0.9,432.1607142686844,0.29318555196437235,0.7,0.13333333333333333
3,5c58bb2ce9813700018b0b88,Reward_Animals,Object,Ph2,Low Reward,0.7666666666666667,3.0813615633194096,0.9333333333333333,445.96785715648105,-0.0853899744539075,0.9,0.13333333333333333
0,5eb126c5f13db7000855c7b7,Reward_Objects,Object,Ph1,High Reward,0.75,2.9871057208418286,0.8666666666666667,460.0769230769231,0.04052227752230464,0.8666666666666667,0.11666666666666667
1,5eb126c5f13db7000855c7b7,Reward_Objects,Animal,Ph1,Low Reward,0.6,2.4782069617971034,0.8333333333333334,454.47407407399817,0.37857552641827985,0.7,0.1
2,5eb126c5f13db7000855c7b7,Reward_Objects,Object,Ph2,High Reward,0.8833333333333333,4.33791785413541,0.9666666666666667,445.1482758619662,-0.5672658511797231,1.0,0.11666666666666667
3,5eb126c5f13db7000855c7b7,Reward_Objects,Animal,Ph2,Low Reward,0.7666666666666667,3.0813615633194096,0.9333333333333333,484.2500000000665,0.0853899744539075,0.8666666666666667,0.1
0,615b0d3dd95cc4ea99feedc2,Reward_Animals,Animal,Ph1,High Reward,0.2833333333333333,1.4068310292324007,0.9333333333333333,389.1241379113033,0.2954190081444763,0.5333333333333333,0.25
1,615b0d3dd95cc4ea99feedc2,Reward_Animals,Object,Ph1,Low Reward,0.4129943502824859,1.7799470300175724,0.9666666666666667,402.81666666666666,0.21517702077592438,0.6333333333333333,0.22033898305084745
2,615b0d3dd95cc4ea99feedc2,Reward_Animals,Animal,Ph2,High Reward,0.3833333333333333,1.6805402695894973,0.9666666666666667,391.3482757436818,0.16689746155414314,0.6333333333333333,0.25
3,615b0d3dd95cc4ea99feedc2,Reward_Animals,Object,Ph2,Low Reward,0.3463276836158192,1.6009735968148715,0.9666666666666667,409.6689655040872,0.30157743192576936,0.5666666666666667,0.22033898305084745
0,6081aa9dda5d04bf29e19e7e,Reward_Objects,Object,Ph1,High Reward,0.02203389830508473,0.3707726917793772,0.8,444.75925923276833,-0.4932096856785807,0.7,0.6779661016949152
1,6081aa9dda5d04bf29e19e7e,Reward_Objects,Animal,Ph1,Low Reward,-0.007013442431326733,-0.19831441471388045,0.7666666666666667,442.6159999752045,-0.22681758296924492,0.5862068965517241,0.5932203389830508
2,6081aa9dda5d04bf29e19e7e,Reward_Objects,Object,Ph2,High Reward,0.04617182933956754,0.5463602396291588,0.9,406.2034482627079,-0.5285986959911992,0.7241379310344828,0.6779661016949152
3,6081aa9dda5d04bf29e19e7e,Reward_Objects,Animal,Ph2,Low Reward,0.1734463276836159,1.0970588000749355,0.9666666666666667,381.7399999698003,-0.48187503844636786,0.7666666666666667,0.5932203389830508
0,5aeaee620ef2f20001859359,Reward_Objects,Object,Ph1,High Reward,0.19999999999999998,1.4057404483245692,0.8,389.17407407804774,0.9029760391263206,0.3,0.1
1,5aeaee620ef2f20001859359,Reward_Objects,Animal,Ph1,Low Reward,0.65,2.5510025105394916,1.0,408.136666671435,0.09740607796043776,0.8,0.15
2,5aeaee620ef2f20001859359,Reward_Objects,Object,Ph2,High Reward,0.4666666666666667,2.1207645683542657,1.0,366.5966666698456,0.5568287803782475,0.5666666666666667,0.1
3,5aeaee620ef2f20001859359,Reward_Objects,Animal,Ph2,Low Reward,0.7166666666666667,2.825750898747606,0.8333333333333334,373.039999995629,-0.03716911357149777,0.8666666666666667,0.15
0,5f0b062853f8960008793934,Reward_Objects,Object,Ph1,High Reward,0.6166666666666667,2.436318388336586,1.0,417.84000000953677,0.15426004930607273,0.7666666666666667,0.15
1,5f0b062853f8960008793934,Reward_Objects,Animal,Ph1,Low Reward,0.4833333333333333,2.004450534819871,0.9333333333333333,433.0517241790377,0.2360037461742037,0.6666666666666666,0.18333333333333332
2,5f0b062853f8960008793934,Reward_Objects,Object,Ph2,High Reward,0.5166666666666666,2.1385007257781896,0.9666666666666667,359.29000000953675,0.3028530450991662,0.6666666666666666,0.15
3,5f0b062853f8960008793934,Reward_Objects,Animal,Ph2,Low Reward,0.6166666666666667,2.41621808549111,0.9666666666666667,382.5199999888738,0.030556779035475268,0.8,0.18333333333333332
0,5c5b50e8fbf35700018c8dde,Reward_Objects,Object,Ph1,High Reward,0.7166666666666667,2.8381669825234552,0.9333333333333333,450.10714285714704,0.1121973027898468,0.8333333333333334,0.11666666666666667
1,5c5b50e8fbf35700018c8dde,Reward_Objects,Animal,Ph1,Low Reward,0.85,4.013896800907058,0.8,447.7307692307737,0.5086368087740993,0.8666666666666667,0.016666666666666666
2,5c5b50e8fbf35700018c8dde,Reward_Objects,Object,Ph2,High Reward,0.7833333333333333,3.167209410623692,0.9666666666666667,388.9000000000194,-0.04486769693160286,0.9,0.11666666666666667
3,5c5b50e8fbf35700018c8dde,Reward_Objects,Animal,Ph2,Low Reward,0.85,4.013896800907058,0.8333333333333334,384.68965517239775,0.5086368087740993,0.8666666666666667,0.016666666666666666
0,61670855a4865f370849daf6,Reward_Animals,Animal,Ph1,High Reward,0.6666666666666667,2.6263699198863075,0.9,449.6275850493332,0.13457519153193553,0.8,0.13333333333333333
1,61670855a4865f370849daf6,Reward_Animals,Object,Ph1,Low Reward,0.8666666666666667,3.87314838603376,0.8333333333333334,455.1760003662109,-0.27618153513565713,0.9666666666666667,0.1
2,61670855a4865f370849daf6,Reward_Animals,Animal,Ph2,High Reward,0.7666666666666667,3.0813615633194096,0.9333333333333333,422.6,-0.0853899744539075,0.9,0.13333333333333333
3,61670855a4865f370849daf6,Reward_Animals,Object,Ph2,Low Reward,0.8666666666666667,3.87314838603376,0.9333333333333333,412.02068828714306,-0.27618153513565713,0.9666666666666667,0.1
0,60e744c0fee95a255b7b3b7c,Reward_Animals,Animal,Ph1,High Reward,0.5166666666666667,2.085849607436772,0.8333333333333334,430.4142857130085,-0.1343268425387254,0.8,0.2833333333333333
1,60e744c0fee95a255b7b3b7c,Reward_Animals,Object,Ph1,Low Reward,0.44999999999999996,1.9605051793114747,0.8666666666666667,443.38076922755977,0.3915431431789951,0.6,0.15
2,60e744c0fee95a255b7b3b7c,Reward_Animals,Animal,Ph2,High Reward,0.5166666666666667,2.085849607436772,0.8333333333333334,406.7607142882688,-0.1343268425387254,0.8,0.2833333333333333
3,60e744c0fee95a255b7b3b7c,Reward_Animals,Object,Ph2,Low Reward,0.7166666666666667,2.825750898747606,0.9666666666666667,423.09310344580945,-0.03716911357149777,0.8666666666666667,0.15
0,615d74e5910ab5aa13e15292,Reward_Objects,Object,Ph1,High Reward,0.8333333333333334,3.5014603355953744,0.7,500.38461538461536,-0.10976719024971227,0.9333333333333333,0.1
1,615d74e5910ab5aa13e15292,Reward_Objects,Animal,Ph1,Low Reward,0.6833333333333333,3.0967321639766863,0.7,525.4285714285714,-0.6304735436602256,0.9666666666666667,0.2833333333333333
2,615d74e5910ab5aa13e15292,Reward_Objects,Object,Ph2,High Reward,0.8333333333333334,3.5014603355953744,0.8333333333333334,499.74074074074076,-0.10976719024971227,0.9333333333333333,0.1
3,615d74e5910ab5aa13e15292,Reward_Objects,Animal,Ph2,Low Reward,0.6166666666666667,2.527210198645396,0.8666666666666667,506.7586206896552,-0.35429200852456844,0.9,0.2833333333333333
0,615714bae6480413c20d5799,Reward_Objects,Object,Ph1,High Reward,0.6333333333333333,2.9474909362588666,0.9333333333333333,387.6551724137931,-0.7015936682602285,0.9666666666666667,0.3333333333333333
1,615714bae6480413c20d5799,Reward_Objects,Animal,Ph1,Low Reward,0.6833333333333333,2.6787583537892585,0.8,411.0740740740741,0.03450591169604439,0.8333333333333334,0.15
2,615714bae6480413c20d5799,Reward_Objects,Object,Ph2,High Reward,0.6666666666666667,3.4734243892848595,0.9333333333333333,403.75,-0.9478102873726916,1.0,0.3333333333333333
3,615714bae6480413c20d5799,Reward_Objects,Animal,Ph2,Low Reward,0.6833333333333333,2.6787583537892585,1.0,376.2,0.03450591169604439,0.8333333333333334,0.15
0,61583e5838de2383e5d85e8e,Reward_Animals,Animal,Ph1,High Reward,0.5497175141242938,2.973085130227416,0.9333333333333333,440.64137932349894,0.9766926488329482,0.5666666666666667,0.01694915254237288
1,61583e5838de2383e5d85e8e,Reward_Animals,Object,Ph1,Low Reward,0.65,2.5510025105394916,0.8333333333333334,446.3519999790192,0.09740607796043776,0.8,0.15
2,61583e5838de2383e5d85e8e,Reward_Animals,Animal,Ph2,High Reward,0.6163841807909605,3.155098162048739,0.9,459.0344827503994,0.8902922376831032,0.6333333333333333,0.01694915254237288
3,61583e5838de2383e5d85e8e,Reward_Animals,Object,Ph2,Low Reward,0.65,2.5510025105394916,0.9,440.0642856955528,0.09740607796043776,0.8,0.15
0,6156edc7c1e67f1d5b4217b1,Reward_Animals,Animal,Ph1,High Reward,0.43333333333333335,1.8908378402693173,0.9666666666666667,410.48275862068965,0.35703723148295063,0.6,0.16666666666666666
1,6156edc7c1e67f1d5b4217b1,Reward_Animals,Object,Ph1,Low Reward,0.6833333333333332,2.950761019631831,1.0,376.7,0.5109639518706925,0.7333333333333333,0.05
2,6156edc7c1e67f1d5b4217b1,Reward_Animals,Animal,Ph2,High Reward,0.5,2.069372240107848,1.0,375.8333333333333,0.2683471334031218,0.6666666666666666,0.16666666666666666
3,6156edc7c1e67f1d5b4217b1,Reward_Animals,Object,Ph2,Low Reward,0.6166666666666666,2.752100516944661,0.9666666666666667,382.3,0.6070631638280077,0.6666666666666666,0.05
0,6158a393006089c341aea029,Reward_Animals,Animal,Ph1,High Reward,0.7632768361581921,3.371414108841322,0.9,458.6249999829701,-0.5021702994170435,0.9666666666666667,0.2033898305084746
1,6158a393006089c341aea029,Reward_Animals,Object,Ph1,Low Reward,0.7166666666666667,2.8381669825234552,1.0,463.83333332538604,0.1121973027898468,0.8333333333333334,0.11666666666666667
2,6158a393006089c341aea029,Reward_Animals,Animal,Ph2,High Reward,0.6299435028248588,2.4691828741037214,0.9666666666666667,451.0766666650772,-0.0689237645599367,0.8333333333333334,0.2033898305084746
3,6158a393006089c341aea029,Reward_Animals,Object,Ph2,Low Reward,0.7166666666666667,2.8381669825234552,0.9,425.9629629717933,0.1121973027898468,0.8333333333333334,0.11666666666666667
0,615d916c78c5a25a39a73a68,Reward_Objects,Object,Ph1,High Reward,0.3137931034482758,1.7307075569817663,0.6,486.55238095237985,0.7496749727359995,0.41379310344827586,0.1
1,615d916c78c5a25a39a73a68,Reward_Objects,Animal,Ph1,Low Reward,0.4551724137931034,1.911240037452953,0.8,458.28799999998415,0.2211490831116815,0.6551724137931034,0.2
2,615d916c78c5a25a39a73a68,Reward_Objects,Object,Ph2,High Reward,0.43333333333333335,2.0363266864105656,0.9,448.0750000000241,0.5989499158187357,0.5333333333333333,0.1
3,615d916c78c5a25a39a73a68,Reward_Objects,Animal,Ph2,Low Reward,0.6000000000000001,2.3548600648214664,0.8666666666666667,453.42142857146763,-5.551115123125783e-17,0.8,0.2
0,61660b70796d9c72e859cd1c,Reward_Objects,Object,Ph1,High Reward,0.8,3.315559672704121,0.9333333333333333,459.0071428572493,-0.19515716470361977,0.9333333333333333,0.13333333333333333
1,61660b70796d9c72e859cd1c,Reward_Objects,Animal,Ph1,Low Reward,0.9,4.124677710670219,0.8333333333333334,447.6730769231486,-0.16641434488594486,0.9666666666666667,0.06666666666666667
2,61660b70796d9c72e859cd1c,Reward_Objects,Object,Ph2,High Reward,0.8333333333333334,3.680904895197756,0.9333333333333333,409.913793103384,-0.36157150958956463,0.9666666666666667,0.13333333333333333
3,61660b70796d9c72e859cd1c,Reward_Objects,Animal,Ph2,Low Reward,0.8333333333333334,3.5014603355953744,0.9666666666666667,420.76000000014903,0.10976719024971227,0.9,0.06666666666666667
0,61560bb2deb10241c3dfda72,Reward_Objects,Object,Ph1,High Reward,0.3666666666666667,1.7789525856497874,0.9333333333333333,458.1172413791305,-0.5553858083183927,0.8666666666666667,0.5
1,61560bb2deb10241c3dfda72,Reward_Objects,Animal,Ph1,Low Reward,0.36666666666666664,1.6268480359315274,0.9,462.7925925928134,0.14111544806114618,0.6333333333333333,0.26666666666666666
2,61560bb2deb10241c3dfda72,Reward_Objects,Object,Ph2,High Reward,0.3666666666666667,1.7789525856497874,0.9333333333333333,407.3714285715084,-0.5553858083183927,0.8666666666666667,0.5
3,61560bb2deb10241c3dfda72,Reward_Objects,Animal,Ph2,Low Reward,0.5333333333333334,2.135884175169272,0.9666666666666667,408.09333333348235,-0.10934775518141326,0.8,0.26666666666666666
0,59dbcbf568e0b00001c15f9a,Reward_Objects,Object,Ph1,High Reward,0.35,1.702533354943902,0.9333333333333333,435.74827586205936,0.5182166947468949,0.5,0.15
1,59dbcbf568e0b00001c15f9a,Reward_Objects,Animal,Ph1,Low Reward,0.35,1.702533354943902,0.9333333333333333,450.4793103448083,0.5182166947468949,0.5,0.15
2,59dbcbf568e0b00001c15f9a,Reward_Objects,Object,Ph2,High Reward,0.35,1.702533354943902,0.9333333333333333,416.46785714284385,0.5182166947468949,0.5,0.15
3,59dbcbf568e0b00001c15f9a,Reward_Objects,Animal,Ph2,Low Reward,0.31666666666666665,1.6154986141624332,0.8666666666666667,414.91428571423916,0.5600425617004594,0.4666666666666667,0.15
0,615e0a9b470e2794d8318046,Reward_Objects,Object,Ph1,High Reward,0.4666666666666666,1.9429380260672788,0.9,391.16785714269747,0.20544696713872837,0.6666666666666666,0.2
1,615e0a9b470e2794d8318046,Reward_Objects,Animal,Ph1,Low Reward,0.75,3.0372408344690354,0.9666666666666667,398.3206896551981,0.2077862804994685,0.8333333333333334,0.08333333333333333
2,615e0a9b470e2794d8318046,Reward_Objects,Object,Ph2,High Reward,0.7,2.8009906459885636,1.0,391.3300000000745,-0.2199651659858431,0.9,0.2
3,615e0a9b470e2794d8318046,Reward_Objects,Animal,Ph2,Low Reward,0.75,3.0372408344690354,0.9333333333333333,389.5033333335693,0.2077862804994685,0.8333333333333334,0.08333333333333333
0,616821f29b3974a53e0ce94e,Reward_Animals,Animal,Ph1,High Reward,0.55,2.182791189391754,0.9,428.16206896562,0.027793542254064885,0.7666666666666667,0.21666666666666667
1,616821f29b3974a53e0ce94e,Reward_Animals,Object,Ph1,Low Reward,0.65,2.5510025105394916,0.7333333333333333,449.5959999997914,0.09740607796043776,0.8,0.15
2,616821f29b3974a53e0ce94e,Reward_Animals,Animal,Ph2,High Reward,0.55,2.182791189391754,0.8666666666666667,444.0214285715483,0.027793542254064885,0.7666666666666667,0.21666666666666667
3,616821f29b3974a53e0ce94e,Reward_Animals,Object,Ph2,Low Reward,0.6086206896551724,2.4101379723406002,0.9,424.71428571435223,0.1672803970359148,0.7586206896551724,0.15
0,615760128c9cc0dc5cf6febc,Reward_Objects,Object,Ph1,High Reward,0.6000000000000001,2.4055073504622446,0.9,447.17857142856934,-0.2439229467133488,0.8666666666666667,0.26666666666666666
1,615760128c9cc0dc5cf6febc,Reward_Objects,Animal,Ph1,Low Reward,0.392090395480226,1.8439644593239652,0.7666666666666667,459.1739130434669,-0.5235002910395774,0.8666666666666667,0.4745762711864407
2,615760128c9cc0dc5cf6febc,Reward_Objects,Object,Ph2,High Reward,0.5333333333333334,2.135884175169272,0.9333333333333333,439.64285714285296,-0.10934775518141326,0.8,0.26666666666666666
3,615760128c9cc0dc5cf6febc,Reward_Objects,Animal,Ph2,Low Reward,0.42542372881355933,2.016366450157621,0.9333333333333333,443.4285714285673,-0.6088902654934849,0.9,0.4745762711864407
0,5c4a3ad6d3a5e3000182c55d,Reward_Animals,Animal,Ph1,High Reward,0.3828170660432495,1.713827868210226,0.8333333333333334,385.96799999999115,0.3058878285272145,0.5862068965517241,0.2033898305084746
1,5c4a3ad6d3a5e3000182c55d,Reward_Animals,Object,Ph1,Low Reward,0.4666666666666666,1.9429380260672788,0.9666666666666667,398.8099999999996,0.20544696713872837,0.6666666666666666,0.2
2,5c4a3ad6d3a5e3000182c55d,Reward_Animals,Animal,Ph2,High Reward,0.5299435028248587,2.123822729824747,0.9333333333333333,424.11724137931515,0.10332415688586999,0.7333333333333333,0.2033898305084746
