,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,5c58bb2ce9813700018b0b88,Reward_Animals,Animal,Ph1,High Reward,0.3425925925925926,1.9059147763154112,0.9333333333333333,509.68571431296215,0.8282659935830499,0.4166666666666667,0.07407407407407407
1,5c58bb2ce9813700018b0b88,Reward_Animals,Object,Ph1,Low Reward,0.6904761904761905,2.857218345367344,0.8333333333333334,492.9884615769753,0.37639538014801704,0.7619047619047619,0.07142857142857142
2,5c58bb2ce9813700018b0b88,Reward_Animals,Animal,Ph2,High Reward,0.6077441077441077,2.5923631289608844,0.9,432.1607142686844,0.48665723596295396,0.6818181818181818,0.07407407407407407
3,5c58bb2ce9813700018b0b88,Reward_Animals,Object,Ph2,Low Reward,0.8251231527093597,3.4409476356029787,0.9333333333333333,445.96785715648105,0.10154430803135739,0.896551724137931,0.07142857142857142
0,5eb126c5f13db7000855c7b7,Reward_Objects,Object,Ph1,High Reward,0.7851458885941645,3.2123729306043094,0.8666666666666667,460.0769230769231,0.16820744516337027,0.8620689655172413,0.07692307692307693
1,5eb126c5f13db7000855c7b7,Reward_Objects,Animal,Ph1,Low Reward,0.6600529100529101,3.2480317805804138,0.8333333333333334,454.47407407399817,0.8108239072873248,0.6785714285714286,0.018518518518518517
2,5eb126c5f13db7000855c7b7,Reward_Objects,Object,Ph2,High Reward,0.9230769230769231,4.61440428111282,0.9666666666666667,445.1482758619662,-0.4501355008839967,1.0,0.07692307692307693
3,5eb126c5f13db7000855c7b7,Reward_Objects,Animal,Ph2,Low Reward,0.8481481481481482,3.9650132607582673,0.9333333333333333,484.2500000000665,0.4872919746975217,0.8666666666666667,0.018518518518518517
0,615b0d3dd95cc4ea99feedc2,Reward_Animals,Animal,Ph1,High Reward,0.30718954248366015,1.4942390110173864,0.9333333333333333,389.1241379113033,0.3454591999890572,0.5294117647058824,0.2222222222222222
1,615b0d3dd95cc4ea99feedc2,Reward_Animals,Object,Ph1,Low Reward,0.609090909090909,2.532321920241793,0.9666666666666667,402.81666666666666,0.40538861170544815,0.7,0.09090909090909091
2,615b0d3dd95cc4ea99feedc2,Reward_Animals,Animal,Ph2,High Reward,0.5902777777777778,2.3233926440188855,0.9666666666666667,391.3482757436818,-0.06121844261624443,0.8125,0.2222222222222222
3,615b0d3dd95cc4ea99feedc2,Reward_Animals,Object,Ph2,Low Reward,0.5757575757575757,2.437885977660164,0.9666666666666667,409.6689655040872,0.4522252184117398,0.6666666666666666,0.09090909090909091
