,UserID,Condition,Value
0,5c58bb2ce9813700018b0b88,Overall PC,0.7708333333333334
1,5c58bb2ce9813700018b0b88,Age,32
2,5c58bb2ce9813700018b0b88,Sex,SexMale
3,5c58bb2ce9813700018b0b88,Bonus,5.25
4,5c58bb2ce9813700018b0b88,Overall Match Accuracy,0.9
5,5c58bb2ce9813700018b0b88,Overall Match RT,469.78636365153574
6,5c58bb2ce9813700018b0b88,CR Overall,0.5416666666666667
7,5c58bb2ce9813700018b0b88,HR Overall,0.675
8,5c58bb2ce9813700018b0b88,FA Overall,0.13333333333333333
9,5c58bb2ce9813700018b0b88,CR Overall High Reward,0.4
10,5c58bb2ce9813700018b0b88,CR Overall Low Reward,0.6833333333333333
11,5c58bb2ce9813700018b0b88,CR Ph1 High Reward,0.2333333333333333
12,5c58bb2ce9813700018b0b88,CR Ph1 Low Reward,0.6
13,5c58bb2ce9813700018b0b88,CR Ph2 High Reward,0.5666666666666667
14,5c58bb2ce9813700018b0b88,CR Ph2 Low Reward,0.7666666666666667
15,5c58bb2ce9813700018b0b88,DP Overall,2.2359492146731794
16,5c58bb2ce9813700018b0b88,DP Overall High Reward,1.864146859899628
17,5c58bb2ce9813700018b0b88,DP Overall Low Reward,2.688604572552298
18,5c58bb2ce9813700018b0b88,DP Ph1 High Reward,1.4199460580856271
19,5c58bb2ce9813700018b0b88,DP Ph1 Low Reward,2.4055073504622446
20,5c58bb2ce9813700018b0b88,DP Ph2 High Reward,2.306675182989952
21,5c58bb2ce9813700018b0b88,DP Ph2 Low Reward,3.0813615633194096
22,5c58bb2ce9813700018b0b88,PHQ Score,1
23,5c58bb2ce9813700018b0b88,PHQ Attention Check,1
24,5c58bb2ce9813700018b0b88,Memory Test RT,2767.4462499896686
25,5c58bb2ce9813700018b0b88,Memory Certainty Count,"      response
0.0         62
12.0        12
24.0        23
48.0        25
60.0        48
72.0        70"
26,5c58bb2ce9813700018b0b88,Memory Certainty Correct Count,"      response
0.0         57
12.0        10
24.0        14
48.0        15
60.0        35
72.0        54"
27,5c58bb2ce9813700018b0b88,Rewarded Category,Animal
28,5c58bb2ce9813700018b0b88,End Survey,"{""Q0"":""I didn't predict it but I wasn't surprised there was another picture task"",""Q1"":""I just did my own style of remembering, some stuff stuck in my mind more than others!"",""Q2"":""3.5""}"
29,5c58bb2ce9813700018b0b88,End Survey2,"{""Q0"":""yes"",""Q1"":""no!""}"
0,5eb126c5f13db7000855c7b7,Overall PC,0.875
1,5eb126c5f13db7000855c7b7,Age,25
2,5eb126c5f13db7000855c7b7,Sex,SexFemale
3,5eb126c5f13db7000855c7b7,Bonus,5.25
4,5eb126c5f13db7000855c7b7,Overall Match Accuracy,0.9
5,5eb126c5f13db7000855c7b7,Overall Match RT,460.9190909090621
6,5eb126c5f13db7000855c7b7,CR Overall,0.75
7,5eb126c5f13db7000855c7b7,HR Overall,0.8583333333333333
8,5eb126c5f13db7000855c7b7,FA Overall,0.10833333333333334
9,5eb126c5f13db7000855c7b7,CR Overall High Reward,0.8166666666666667
10,5eb126c5f13db7000855c7b7,CR Overall Low Reward,0.6833333333333333
11,5eb126c5f13db7000855c7b7,CR Ph1 High Reward,0.75
12,5eb126c5f13db7000855c7b7,CR Ph1 Low Reward,0.6
13,5eb126c5f13db7000855c7b7,CR Ph2 High Reward,0.8833333333333333
14,5eb126c5f13db7000855c7b7,CR Ph2 Low Reward,0.7666666666666667
15,5eb126c5f13db7000855c7b7,DP Overall,2.9930831937658993
16,5eb126c5f13db7000855c7b7,DP Overall High Reward,3.4033681031781464
17,5eb126c5f13db7000855c7b7,DP Overall Low Reward,2.741309280660033
18,5eb126c5f13db7000855c7b7,DP Ph1 High Reward,2.9871057208418286
19,5eb126c5f13db7000855c7b7,DP Ph1 Low Reward,2.4782069617971034
20,5eb126c5f13db7000855c7b7,DP Ph2 High Reward,4.33791785413541
21,5eb126c5f13db7000855c7b7,DP Ph2 Low Reward,3.0813615633194096
22,5eb126c5f13db7000855c7b7,PHQ Score,3
23,5eb126c5f13db7000855c7b7,PHQ Attention Check,1
24,5eb126c5f13db7000855c7b7,Memory Test RT,2706.472083333259
