,UserID,Condition,Value
0,5c58bb2ce9813700018b0b88,Overall PC,0.8125
1,5c58bb2ce9813700018b0b88,Age,32
2,5c58bb2ce9813700018b0b88,Sex,SexMale
3,5c58bb2ce9813700018b0b88,Bonus,5.25
4,5c58bb2ce9813700018b0b88,Overall Match Accuracy,0.9
5,5c58bb2ce9813700018b0b88,Overall Match RT,469.78636365153574
6,5c58bb2ce9813700018b0b88,CR Overall,0.625
7,5c58bb2ce9813700018b0b88,HR Overall,0.6979166666666666
8,5c58bb2ce9813700018b0b88,FA Overall,0.07291666666666667
9,5c58bb2ce9813700018b0b88,CR Overall High Reward,0.4694041867954911
10,5c58bb2ce9813700018b0b88,CR Overall Low Reward,0.7685714285714286
11,5c58bb2ce9813700018b0b88,CR Ph1 High Reward,0.3425925925925926
12,5c58bb2ce9813700018b0b88,CR Ph1 Low Reward,0.6904761904761905
13,5c58bb2ce9813700018b0b88,CR Ph2 High Reward,0.6077441077441077
14,5c58bb2ce9813700018b0b88,CR Ph2 Low Reward,0.8251231527093597
15,5c58bb2ce9813700018b0b88,DP Overall,2.647148326237589
16,5c58bb2ce9813700018b0b88,DP Overall High Reward,2.2267122257941665
17,5c58bb2ce9813700018b0b88,DP Overall Low Reward,3.152673627313752
18,5c58bb2ce9813700018b0b88,DP Ph1 High Reward,1.9059147763154112
19,5c58bb2ce9813700018b0b88,DP Ph1 Low Reward,2.857218345367344
20,5c58bb2ce9813700018b0b88,DP Ph2 High Reward,2.5923631289608844
21,5c58bb2ce9813700018b0b88,DP Ph2 Low Reward,3.4409476356029787
22,5c58bb2ce9813700018b0b88,PHQ Score,1
23,5c58bb2ce9813700018b0b88,PHQ Attention Check,1
24,5c58bb2ce9813700018b0b88,Memory Test RT,2550.080729154249
25,5c58bb2ce9813700018b0b88,Memory Certainty Count,"      response
0.0         62
12.0        12
60.0        48
72.0        70"
26,5c58bb2ce9813700018b0b88,Memory Certainty Correct Count,"      response
0.0         57
12.0        10
60.0        35
72.0        54"
27,5c58bb2ce9813700018b0b88,Rewarded Category,Animal
28,5c58bb2ce9813700018b0b88,End Survey,"{""Q0"":""I didn't predict it but I wasn't surprised there was another picture task"",""Q1"":""I just did my own style of remembering, some stuff stuck in my mind more than others!"",""Q2"":""3.5""}"
29,5c58bb2ce9813700018b0b88,End Survey2,"{""Q0"":""yes"",""Q1"":""no!""}"
0,5eb126c5f13db7000855c7b7,Overall PC,0.9004524886877828
1,5eb126c5f13db7000855c7b7,Age,25
2,5eb126c5f13db7000855c7b7,Sex,SexFemale
3,5eb126c5f13db7000855c7b7,Bonus,5.25
4,5eb126c5f13db7000855c7b7,Overall Match Accuracy,0.9
5,5eb126c5f13db7000855c7b7,Overall Match RT,460.9190909090621
6,5eb126c5f13db7000855c7b7,CR Overall,0.8050041017227235
7,5eb126c5f13db7000855c7b7,HR Overall,0.8521739130434782
8,5eb126c5f13db7000855c7b7,FA Overall,0.04716981132075472
9,5eb126c5f13db7000855c7b7,CR Overall High Reward,0.8529014844804319
10,5eb126c5f13db7000855c7b7,CR Overall Low Reward,0.7573435504469987
11,5eb126c5f13db7000855c7b7,CR Ph1 High Reward,0.7851458885941645
12,5eb126c5f13db7000855c7b7,CR Ph1 Low Reward,0.6600529100529101
13,5eb126c5f13db7000855c7b7,CR Ph2 High Reward,0.9230769230769231
14,5eb126c5f13db7000855c7b7,CR Ph2 Low Reward,0.8481481481481482
15,5eb126c5f13db7000855c7b7,DP Overall,3.4315185628254503
16,5eb126c5f13db7000855c7b7,DP Overall High Reward,3.631752913595168
17,5eb126c5f13db7000855c7b7,DP Overall Low Reward,3.5686738694964575
18,5eb126c5f13db7000855c7b7,DP Ph1 High Reward,3.2123729306043094
19,5eb126c5f13db7000855c7b7,DP Ph1 Low Reward,3.2480317805804138
20,5eb126c5f13db7000855c7b7,DP Ph2 High Reward,4.61440428111282
21,5eb126c5f13db7000855c7b7,DP Ph2 Low Reward,3.9650132607582673
22,5eb126c5f13db7000855c7b7,PHQ Score,3
23,5eb126c5f13db7000855c7b7,PHQ Attention Check,1
24,5eb126c5f13db7000855c7b7,Memory Test RT,2642.2932126696023
25,5eb126c5f13db7000855c7b7,Memory Certainty Count,"      response
0.0         83
12.0        20
60.0        19
72.0        99"
26,5eb126c5f13db7000855c7b7,Memory Certainty Correct Count,"      response
0.0         83
12.0        15
60.0        17
72.0        84"
27,5eb126c5f13db7000855c7b7,Rewarded Category,Object
28,5eb126c5f13db7000855c7b7,End Survey,"{""Q0"":""Not very"",""Q1"":""I had said all the images out loud yesterday so it may have helped me remember them better"",""Q2"":""4""}"
29,5eb126c5f13db7000855c7b7,End Survey2,"{""Q0"":""Yes"",""Q1"":""No""}"
0,615b0d3dd95cc4ea99feedc2,Overall PC,0.76
1,615b0d3dd95cc4ea99feedc2,Age,24
2,615b0d3dd95cc4ea99feedc2,Sex,SexMale
3,615b0d3dd95cc4ea99feedc2,Bonus,5.25
4,615b0d3dd95cc4ea99feedc2,Overall Match Accuracy,0.9583333333333334
5,615b0d3dd95cc4ea99feedc2,Overall Match RT,398.2786324411376
6,615b0d3dd95cc4ea99feedc2,CR Overall,0.5269230769230769
7,615b0d3dd95cc4ea99feedc2,HR Overall,0.676923076923077
8,615b0d3dd95cc4ea99feedc2,FA Overall,0.15
9,615b0d3dd95cc4ea99feedc2,CR Overall High Reward,0.4444444444444444
10,615b0d3dd95cc4ea99feedc2,CR Overall Low Reward,0.5965909090909091
11,615b0d3dd95cc4ea99feedc2,CR Ph1 High Reward,0.30718954248366015
12,615b0d3dd95cc4ea99feedc2,CR Ph1 Low Reward,0.609090909090909
13,615b0d3dd95cc4ea99feedc2,CR Ph2 High Reward,0.5902777777777778
14,615b0d3dd95cc4ea99feedc2,CR Ph2 Low Reward,0.5757575757575757
15,615b0d3dd95cc4ea99feedc2,DP Overall,2.166911036037414
16,615b0d3dd95cc4ea99feedc2,DP Overall High Reward,1.8651748916624529
17,615b0d3dd95cc4ea99feedc2,DP Overall Low Reward,2.496356666356286
18,615b0d3dd95cc4ea99feedc2,DP Ph1 High Reward,1.4942390110173864
19,615b0d3dd95cc4ea99feedc2,DP Ph1 Low Reward,2.532321920241793
20,615b0d3dd95cc4ea99feedc2,DP Ph2 High Reward,2.3233926440188855
21,615b0d3dd95cc4ea99feedc2,DP Ph2 Low Reward,2.437885977660164
22,615b0d3dd95cc4ea99feedc2,PHQ Score,1
23,615b0d3dd95cc4ea99feedc2,PHQ Attention Check,1
24,615b0d3dd95cc4ea99feedc2,Memory Test RT,3224.1519999694824
25,615b0d3dd95cc4ea99feedc2,Memory Certainty Count,"      response
0.0         21
12.0        32
60.0        41
72.0        31"
26,615b0d3dd95cc4ea99feedc2,Memory Certainty Correct Count,"      response
0.0         18
12.0        26
60.0        27
72.0        24"
27,615b0d3dd95cc4ea99feedc2,Rewarded Category,Animal
28,615b0d3dd95cc4ea99feedc2,End Survey,"{""Q0"":""fairly suprised"",""Q1"":""i just went with my instinct,some images felt more recognisable than others "",""Q2"":""4""}"
29,615b0d3dd95cc4ea99feedc2,End Survey2,"{""Q0"":""Yes"",""Q1"":""No I couldn't say ""}"
0,6081aa9dda5d04bf29e19e7e,Overall PC,0.46875
1,6081aa9dda5d04bf29e19e7e,Age,22
2,6081aa9dda5d04bf29e19e7e,Sex,SexFemale
3,6081aa9dda5d04bf29e19e7e,Bonus,5.25
4,6081aa9dda5d04bf29e19e7e,Overall Match Accuracy,0.8583333333333333
5,6081aa9dda5d04bf29e19e7e,Overall Match RT,417.1711711475441
6,6081aa9dda5d04bf29e19e7e,CR Overall,-0.033986928104575154
7,6081aa9dda5d04bf29e19e7e,HR Overall,0.7111111111111111
8,6081aa9dda5d04bf29e19e7e,FA Overall,0.7450980392156863
9,6081aa9dda5d04bf29e19e7e,CR Overall High Reward,0.05103668261562999
10,6081aa9dda5d04bf29e19e7e,CR Overall Low Reward,-0.2692307692307693
11,6081aa9dda5d04bf29e19e7e,CR Ph1 High Reward,0.02786377708978327
12,6081aa9dda5d04bf29e19e7e,CR Ph1 Low Reward,-0.1692307692307693
13,6081aa9dda5d04bf29e19e7e,CR Ph2 High Reward,0.07565789473684215
14,6081aa9dda5d04bf29e19e7e,CR Ph2 Low Reward,-0.3406593406593407
15,6081aa9dda5d04bf29e19e7e,DP Overall,-0.47760174973235925
16,6081aa9dda5d04bf29e19e7e,DP Overall High Reward,0.6113811547420083
17,6081aa9dda5d04bf29e19e7e,DP Overall Low Reward,-1.3827158066038845
18,6081aa9dda5d04bf29e19e7e,DP Ph1 High Reward,0.4414355562629321
19,6081aa9dda5d04bf29e19e7e,DP Ph1 Low Reward,-1.0856524373454366
20,6081aa9dda5d04bf29e19e7e,DP Ph2 High Reward,0.7649155768468675
21,6081aa9dda5d04bf29e19e7e,DP Ph2 Low Reward,-1.5771505382380688
22,6081aa9dda5d04bf29e19e7e,PHQ Score,2
23,6081aa9dda5d04bf29e19e7e,PHQ Attention Check,1
24,6081aa9dda5d04bf29e19e7e,Memory Test RT,2977.9958333497248
25,6081aa9dda5d04bf29e19e7e,Memory Certainty Count,"      response
0.0         28
12.0        42
60.0        23
72.0         3"
