,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,61191d4aebdec9c0834832f6,Reward_Animals,Animal,Ph1,High Reward,0.5,2.3405574345546096,0.9333333333333333,384.9344827585918,0.6665959706279597,0.5666666666666667,0.06666666666666667
1,61191d4aebdec9c0834832f6,Reward_Animals,Object,Ph1,Low Reward,0.4977401129943503,2.112336461226247,1.0,391.92666666672255,0.379819796185643,0.6333333333333333,0.13559322033898305
2,61191d4aebdec9c0834832f6,Reward_Animals,Animal,Ph2,High Reward,0.6666666666666666,2.801854095580275,0.9333333333333333,405.22068965532975,0.4390801114169686,0.7333333333333333,0.06666666666666667
3,61191d4aebdec9c0834832f6,Reward_Animals,Object,Ph2,Low Reward,0.6977401129943503,2.7440798321937674,0.9333333333333333,400.2892857143556,0.06645642667869017,0.8333333333333334,0.13559322033898305
0,5ef4fadcdff5d41398f96960,Reward_Animals,Animal,Ph1,High Reward,0.7666666666666667,3.1620413449589653,1.0,458.04666666587195,-0.2668321899711619,0.9333333333333333,0.16666666666666666
1,5ef4fadcdff5d41398f96960,Reward_Animals,Object,Ph1,Low Reward,0.7666666666666667,3.0813615633194096,0.8666666666666667,460.822222215158,0.0853899744539075,0.8666666666666667,0.1
2,5ef4fadcdff5d41398f96960,Reward_Animals,Animal,Ph2,High Reward,0.7666666666666667,3.1620413449589653,0.8666666666666667,433.65185183507424,-0.2668321899711619,0.9333333333333333,0.16666666666666666
3,5ef4fadcdff5d41398f96960,Reward_Animals,Object,Ph2,Low Reward,0.6666666666666667,2.684480629554784,0.9666666666666667,428.21034480374436,0.276819137331478,0.7666666666666667,0.1
0,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Animal,Ph1,High Reward,0.55,2.211786489105745,0.9,451.18275862110073,-0.19722700880311878,0.8333333333333334,0.2833333333333333
1,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Object,Ph1,Low Reward,0.7,2.8009906459885636,0.9,446.27037037081186,-0.2199651659858431,0.9,0.2
2,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Animal,Ph2,High Reward,0.3833333333333333,1.668617153780294,0.8333333333333334,444.6600000011921,0.07112012460000303,0.6666666666666666,0.2833333333333333
3,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Object,Ph2,Low Reward,0.4666666666666666,1.9429380260672788,0.8666666666666667,459.29259259502095,0.20544696713872837,0.6666666666666666,0.2
0,5e4ec34db69e4e0732e474cc,Reward_Animals,Animal,Ph1,High Reward,0.6322033898305084,2.6919709889880847,0.9,445.5172413793144,0.48400183280615916,0.7,0.06779661016949153
