,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,61191d4aebdec9c0834832f6,Reward_Animals,Animal,Ph1,High Reward,0.5618131868131868,2.577825770311418,0.9333333333333333,384.9344827585918,0.6588939651157419,0.6153846153846154,0.05357142857142857
1,61191d4aebdec9c0834832f6,Reward_Animals,Object,Ph1,Low Reward,0.6107723577235773,2.516684416725223,1.0,391.92666666672255,0.37352635219979463,0.7083333333333334,0.0975609756097561
2,61191d4aebdec9c0834832f6,Reward_Animals,Animal,Ph2,High Reward,0.7050492610837438,2.998044388461391,0.9333333333333333,405.22068965532975,0.45464828346535857,0.7586206896551724,0.05357142857142857
3,61191d4aebdec9c0834832f6,Reward_Animals,Object,Ph2,Low Reward,0.7300252312867956,2.9220941561406857,0.9333333333333333,400.2892857143556,0.17545269785160583,0.8275862068965517,0.0975609756097561
0,5ef4fadcdff5d41398f96960,Reward_Animals,Animal,Ph1,High Reward,0.7747252747252747,3.1799189655900046,1.0,458.04666666587195,-0.2225787799496608,0.9285714285714286,0.15384615384615385
1,5ef4fadcdff5d41398f96960,Reward_Animals,Object,Ph1,Low Reward,0.8032454361054766,3.361547688594518,0.8666666666666667,460.822222215158,0.23753224470784595,0.8620689655172413,0.058823529411764705
2,5ef4fadcdff5d41398f96960,Reward_Animals,Animal,Ph2,High Reward,0.7794871794871795,3.2181678300657,0.8666666666666667,433.65185183507424,-0.24050485662891175,0.9333333333333333,0.15384615384615385
3,5ef4fadcdff5d41398f96960,Reward_Animals,Object,Ph2,Low Reward,0.8885448916408668,3.9518248364048802,0.9666666666666667,428.21034480374436,-0.027564893638235444,0.9473684210526315,0.058823529411764705
0,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Animal,Ph1,High Reward,0.6316425120772947,2.4726613245703533,0.9,451.18275862110073,-0.038590098351365454,0.8260869565217391,0.19444444444444445
1,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Object,Ph1,Low Reward,0.7736170212765957,3.1116397853244253,0.9,446.27037037081186,0.035504476280423525,0.88,0.10638297872340426
2,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Animal,Ph2,High Reward,0.4455555555555556,1.8901539436115318,0.8333333333333334,444.6600000011921,0.25158766346148925,0.64,0.19444444444444445
3,60e4cdbba3fd4ba23eb551d6,Reward_Animals,Object,Ph2,Low Reward,0.4845261121856867,2.14722868512558,0.8666666666666667,459.29259259502095,0.5080558135238527,0.5909090909090909,0.10638297872340426
0,5e4ec34db69e4e0732e474cc,Reward_Animals,Animal,Ph1,High Reward,0.6618037135278514,2.775807308106583,0.9,445.5172413793144,0.43419937740266173,0.7307692307692307,0.06896551724137931
1,5e4ec34db69e4e0732e474cc,Reward_Animals,Object,Ph1,Low Reward,0.16228070175438597,1.3201296335878632,0.8333333333333334,435.00000000000324,1.0147118584551524,0.25,0.08771929824561403
2,5e4ec34db69e4e0732e474cc,Reward_Animals,Animal,Ph2,High Reward,0.4694960212201591,2.2515276407715796,0.8666666666666667,481.7586206896552,0.6934906220558288,0.5384615384615384,0.06896551724137931
3,5e4ec34db69e4e0732e474cc,Reward_Animals,Object,Ph2,Low Reward,0.33535762483130904,1.8300987314693224,0.7666666666666667,455.4347826086855,0.7744810545690748,0.4230769230769231,0.08771929824561403
0,6171221efda127e0d1b31860,Reward_Objects,Object,Ph1,High Reward,0.548951048951049,2.194984891128167,0.8,481.3320000267029,0.1466583819707059,0.7307692307692307,0.18181818181818182
1,6171221efda127e0d1b31860,Reward_Objects,Animal,Ph1,Low Reward,0.4015151515151515,2.0160482265004114,0.9666666666666667,468.1233333587646,-0.7104912391654601,0.9166666666666666,0.5151515151515151
2,6171221efda127e0d1b31860,Reward_Objects,Object,Ph2,High Reward,0.5138339920948616,2.091666448466292,0.8,488.0800000190735,0.19826082733302786,0.6956521739130435,0.18181818181818182
3,6171221efda127e0d1b31860,Reward_Objects,Animal,Ph2,Low Reward,0.13702239789196313,0.913877716277597,0.7333333333333333,489.89200004577634,-0.21459230470987697,0.6521739130434783,0.5151515151515151
0,60b0fb825f5eb216ab3c03b1,Reward_Objects,Object,Ph1,High Reward,0.5023310023310023,2.0613125588562893,0.9666666666666667,469.5689655254627,0.22226603231348052,0.6818181818181818,0.1794871794871795
1,60b0fb825f5eb216ab3c03b1,Reward_Objects,Animal,Ph1,Low Reward,0.6303258145363408,2.5038697455118633,0.9666666666666667,472.0586206830781,0.20325767433653558,0.7619047619047619,0.13157894736842105
2,60b0fb825f5eb216ab3c03b1,Reward_Objects,Object,Ph2,High Reward,0.6121794871794871,2.401329845311344,0.9,463.4740740767232,0.052551692059657706,0.7916666666666666,0.1794871794871795
3,60b0fb825f5eb216ab3c03b1,Reward_Objects,Animal,Ph2,Low Reward,0.5640732265446224,2.3023900552045387,0.9333333333333333,472.45666667222974,0.30351108359561535,0.6956521739130435,0.13157894736842105
0,613a3d80394f1c5656a334a5,Reward_Objects,Object,Ph1,High Reward,0.5902668759811617,2.444431240710172,0.9333333333333333,390.8103448275802,0.38380309584839006,0.6923076923076923,0.10204081632653061
1,613a3d80394f1c5656a334a5,Reward_Objects,Animal,Ph1,Low Reward,0.5837320574162679,2.6428610668492025,0.8333333333333334,421.469230769229,-0.6355502815606124,0.9473684210526315,0.36363636363636365
2,613a3d80394f1c5656a334a5,Reward_Objects,Object,Ph2,High Reward,0.3525046382189239,1.8249259159862008,0.8333333333333334,483.857692307721,0.692096854695782,0.45454545454545453,0.10204081632653061
