,UserID,Condition,Value
0,61191d4aebdec9c0834832f6,Overall PC,0.7949790794979079
1,61191d4aebdec9c0834832f6,Age,21
2,61191d4aebdec9c0834832f6,Sex,SexMale
3,61191d4aebdec9c0834832f6,Bonus,5.25
4,61191d4aebdec9c0834832f6,Overall Match Accuracy,0.95
5,61191d4aebdec9c0834832f6,Overall Match RT,395.52068965523586
6,61191d4aebdec9c0834832f6,CR Overall,0.5908263305322129
7,61191d4aebdec9c0834832f6,HR Overall,0.6916666666666667
8,61191d4aebdec9c0834832f6,FA Overall,0.10084033613445378
9,61191d4aebdec9c0834832f6,CR Overall High Reward,0.5833333333333334
10,61191d4aebdec9c0834832f6,CR Overall Low Reward,0.5977401129943503
11,61191d4aebdec9c0834832f6,CR Ph1 High Reward,0.5
12,61191d4aebdec9c0834832f6,CR Ph1 Low Reward,0.4977401129943503
13,61191d4aebdec9c0834832f6,CR Ph2 High Reward,0.6666666666666666
14,61191d4aebdec9c0834832f6,CR Ph2 Low Reward,0.6977401129943503
15,61191d4aebdec9c0834832f6,DP Overall,2.449409979084116
16,61191d4aebdec9c0834832f6,DP Overall High Reward,2.5594530357325818
17,61191d4aebdec9c0834832f6,DP Overall Low Reward,2.3950232732803167
18,61191d4aebdec9c0834832f6,DP Ph1 High Reward,2.3405574345546096
19,61191d4aebdec9c0834832f6,DP Ph1 Low Reward,2.112336461226247
20,61191d4aebdec9c0834832f6,DP Ph2 High Reward,2.801854095580275
21,61191d4aebdec9c0834832f6,DP Ph2 Low Reward,2.7440798321937674
22,61191d4aebdec9c0834832f6,PHQ Score,2
23,61191d4aebdec9c0834832f6,PHQ Attention Check,1
24,61191d4aebdec9c0834832f6,Memory Test RT,2072.9874476987447
25,61191d4aebdec9c0834832f6,Memory Certainty Count,"      response
0.0         81
12.0         5
24.0         9
48.0        25
60.0        60
72.0        59"
26,61191d4aebdec9c0834832f6,Memory Certainty Correct Count,"      response
0.0         75
12.0         4
24.0         4
48.0        17
60.0        45
72.0        45"
27,61191d4aebdec9c0834832f6,Rewarded Category,Animal
