,UserID,Condition,Value
0,61191d4aebdec9c0834832f6,Overall PC,0.824390243902439
1,61191d4aebdec9c0834832f6,Age,21
2,61191d4aebdec9c0834832f6,Sex,SexMale
3,61191d4aebdec9c0834832f6,Bonus,5.25
4,61191d4aebdec9c0834832f6,Overall Match Accuracy,0.95
5,61191d4aebdec9c0834832f6,Overall Match RT,395.52068965523586
6,61191d4aebdec9c0834832f6,CR Overall,0.6593165330278733
7,61191d4aebdec9c0834832f6,HR Overall,0.7314814814814815
8,61191d4aebdec9c0834832f6,FA Overall,0.07216494845360824
9,61191d4aebdec9c0834832f6,CR Overall High Reward,0.6373376623376623
10,61191d4aebdec9c0834832f6,CR Overall Low Reward,0.6760239300506213
11,61191d4aebdec9c0834832f6,CR Ph1 High Reward,0.5618131868131868
12,61191d4aebdec9c0834832f6,CR Ph1 Low Reward,0.6107723577235773
13,61191d4aebdec9c0834832f6,CR Ph2 High Reward,0.7050492610837438
14,61191d4aebdec9c0834832f6,CR Ph2 Low Reward,0.7300252312867956
15,61191d4aebdec9c0834832f6,DP Overall,2.7537144148844046
16,61191d4aebdec9c0834832f6,DP Overall High Reward,2.7870263643519797
17,61191d4aebdec9c0834832f6,DP Overall Low Reward,2.7220915509693473
18,61191d4aebdec9c0834832f6,DP Ph1 High Reward,2.577825770311418
19,61191d4aebdec9c0834832f6,DP Ph1 Low Reward,2.516684416725223
20,61191d4aebdec9c0834832f6,DP Ph2 High Reward,2.998044388461391
21,61191d4aebdec9c0834832f6,DP Ph2 Low Reward,2.9220941561406857
22,61191d4aebdec9c0834832f6,PHQ Score,2
23,61191d4aebdec9c0834832f6,PHQ Attention Check,1
24,61191d4aebdec9c0834832f6,Memory Test RT,2003.041463414634
25,61191d4aebdec9c0834832f6,Memory Certainty Count,"      response
0.0         81
12.0         5
60.0        60
72.0        59"
26,61191d4aebdec9c0834832f6,Memory Certainty Correct Count,"      response
0.0         75
12.0         4
60.0        45
72.0        45"
27,61191d4aebdec9c0834832f6,Rewarded Category,Animal
28,61191d4aebdec9c0834832f6,End Survey,"{""Q0"":""i wasn't expecting it"",""Q1"":""i remembered my thoughts on that specific animal or object. for example when a certain fish was present i remembered my reaction i had to the colour of the fish etc"",""Q2"":""overslept so i guess sufficient sleep ""}"
29,61191d4aebdec9c0834832f6,End Survey2,"{""Q0"":""yes animals / insects/ fish then certain tool and other non living objects "",""Q1"":""i think most of my green stars were animals but i don't know ""}"
0,5ef4fadcdff5d41398f96960,Overall PC,0.9050279329608939
1,5ef4fadcdff5d41398f96960,Age,34
