,UserID,Condition,Value
28,61191d4aebdec9c0834832f6,End Survey,"{""Q0"":""i wasn't expecting it"",""Q1"":""i remembered my thoughts on that specific animal or object. for example when a certain fish was present i remembered my reaction i had to the colour of the fish etc"",""Q2"":""overslept so i guess sufficient sleep ""}"
28,5ef4fadcdff5d41398f96960,End Survey,"{""Q0"":""very, memory isn't as bad as I thought"",""Q1"":""no specific stategy"",""Q2"":""4""}"
28,60e4cdbba3fd4ba23eb551d6,End Survey,"{""Q0"":""very "",""Q1"":""i didn't have a strategy "",""Q2"":""2""}"
28,5e4ec34db69e4e0732e474cc,End Survey,"{""Q0"":""Very"",""Q1"":""None - just if I recognised them"",""Q2"":""5""}"
28,6171221efda127e0d1b31860,End Survey,"{""Q0"":""Very"",""Q1"":""No strategy, the ones that stuck out were instantly recognisable, the others were very similar or similar types were repeated"",""Q2"":""4""}"
28,60b0fb825f5eb216ab3c03b1,End Survey,"{""Q0"":""Not surprised, however it was very long with no progress bar to show when it would finish."",""Q1"":""Did I see it yesterday? Yes! Ok, it's old."",""Q2"":""4""}"
28,613a3d80394f1c5656a334a5,End Survey,"{""Q0"":""vey at how much remembered"",""Q1"":""recognised colours mainly"",""Q2"":""4""}"
28,61742a9ff08991acec08ae49,End Survey,"{""Q0"":""not very - expecting "",""Q1"":""just tried to remember exactly what i saw yesterday - animals were easier"",""Q2"":""2""}"
28,616d3d8ea3b54a59c9a25972,End Survey,"{""Q0"":""very suprised"",""Q1"":""just tried to see if I recognised it"",""Q2"":""2""}"
28,61689dd9b5677bf2b1eae758,End Survey,"{""Q0"":""Fairly surprised "",""Q1"":""Didn't exactly have a strategy but was quite surprised by how much i remembered  "",""Q2"":""4""}"
28,616a1d5d62aca16697a19692,End Survey,"{""Q0"":""very"",""Q1"":""just used my memory"",""Q2"":""3""}"
28,60dcdae92191e4a910e4f4f2,End Survey,"{""Q0"":""Not particularly"",""Q1"":""Seeing what I remembered"",""Q2"":""3""}"
28,5f4c91ba4739668bccaa0d13,End Survey,"{""Q0"":""Not very, I expected something like this."",""Q1"":""Gut feeling."",""Q2"":""4""}"
28,616d3d7cbf9e78d1a6e3219e,End Survey,"{""Q0"":""Not too surprised"",""Q1"":""Didn't really have a strategy, just tried and remember as I went along"",""Q2"":""3""}"
