,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,5c8e9e97112f870001b12bb9,Reward_Animals,Animal,Ph1,High Reward,0.4813559322033898,2.1064375531838695,0.8,509.70833332588273,0.46422258360665913,0.6,0.11864406779661017
1,5c8e9e97112f870001b12bb9,Reward_Animals,Object,Ph1,Low Reward,0.27261904761904765,1.4782167197610807,0.7333333333333333,499.0416666691502,0.5797102397327181,0.43333333333333335,0.16071428571428573
2,5c8e9e97112f870001b12bb9,Reward_Animals,Animal,Ph2,High Reward,0.29514903565166567,1.6272385495745554,0.7333333333333333,444.6625000014901,0.6997953251382583,0.41379310344827586,0.11864406779661017
3,5c8e9e97112f870001b12bb9,Reward_Animals,Object,Ph2,Low Reward,0.27261904761904765,1.4782167197610807,0.8333333333333334,447.6600000071526,0.5797102397327181,0.43333333333333335,0.16071428571428573
0,5b70252c99982e000145ccf7,Reward_Objects,Object,Ph1,High Reward,0.6819209039548023,2.778963083623698,0.5666666666666667,420.6052631579928,0.32296308824772035,0.7666666666666667,0.0847457627118644
1,5b70252c99982e000145ccf7,Reward_Objects,Animal,Ph1,Low Reward,0.5459770114942528,2.2737267990082612,0.7333333333333333,447.05833333327126,0.3704094360036523,0.6666666666666666,0.1206896551724138
2,5b70252c99982e000145ccf7,Reward_Objects,Object,Ph2,High Reward,0.748587570621469,3.0276266925620856,0.9666666666666667,378.4733333331843,0.203208950637692,0.8333333333333334,0.0847457627118644
3,5b70252c99982e000145ccf7,Reward_Objects,Animal,Ph2,Low Reward,0.8126436781609195,3.381336820502604,0.9333333333333333,392.92413793106016,-0.16476988737063147,0.9333333333333333,0.1206896551724138
0,5b1bcd1d88ee7400012b0707,Reward_Animals,Animal,Ph1,High Reward,0.4333333333333333,1.827793664796058,0.7666666666666667,486.91666666418314,0.1485929957930934,0.6666666666666666,0.23333333333333334
1,5b1bcd1d88ee7400012b0707,Reward_Animals,Object,Ph1,Low Reward,0.3,1.4975934557905362,0.7666666666666667,497.52499999354285,0.4208106167864571,0.5,0.2
2,5b1bcd1d88ee7400012b0707,Reward_Animals,Animal,Ph2,High Reward,0.5333333333333334,2.1271537051208878,0.8333333333333334,509.1785714221852,-5.551115123125783e-17,0.7666666666666667,0.23333333333333334
3,5b1bcd1d88ee7400012b0707,Reward_Animals,Object,Ph2,Low Reward,0.17931034482758618,1.1490981849920126,0.7,466.36818182468414,0.574456902387035,0.3793103448275862,0.2
0,62fb7b54ec4bc537f3efe2de,Reward_Objects,Object,Ph1,High Reward,0.16440677966101694,1.199077144585407,0.7666666666666667,468.7083333333333,0.8123674660835611,0.3,0.13559322033898305
1,62fb7b54ec4bc537f3efe2de,Reward_Objects,Animal,Ph1,Low Reward,0.4172413793103449,1.9957265607804044,0.7333333333333333,458.22222222222223,0.6191601871958915,0.5172413793103449,0.1
2,62fb7b54ec4bc537f3efe2de,Reward_Objects,Object,Ph2,High Reward,0.364406779661017,1.7682679230019427,0.9333333333333333,378.8,0.5501672097295407,0.5,0.13559322033898305
3,62fb7b54ec4bc537f3efe2de,Reward_Objects,Animal,Ph2,Low Reward,0.5,2.2062922609800473,1.0,387.96666666666664,0.5141022312044004,0.6,0.1
0,5cafc17ace1fa80017a20d6b,Reward_Animals,Animal,Ph1,High Reward,0.31666666666666665,1.974981492007052,0.8666666666666667,403.51538461547057,0.9927742270196342,0.36666666666666664,0.05
1,5cafc17ace1fa80017a20d6b,Reward_Animals,Object,Ph1,Low Reward,0.38333333333333336,2.547607477540768,0.8666666666666667,425.211111111118,1.1906961686603919,0.4,0.016666666666666666
2,5cafc17ace1fa80017a20d6b,Reward_Animals,Animal,Ph2,High Reward,0.48333333333333334,2.400291556703854,1.0,398.02333333330847,0.7806009465221719,0.5333333333333333,0.05
3,5cafc17ace1fa80017a20d6b,Reward_Animals,Object,Ph2,Low Reward,0.7166666666666666,3.466740445870987,0.9666666666666667,384.50999999996276,0.7525597554874481,0.7333333333333333,0.016666666666666666
0,5cdf33619e96db0015aec6a6,Reward_Objects,Object,Ph1,High Reward,0.3373563218390805,1.5389147926976934,0.9666666666666667,450.34827589166576,0.13283748864715386,0.6206896551724138,0.2833333333333333
1,5cdf33619e96db0015aec6a6,Reward_Objects,Animal,Ph1,Low Reward,0.2833333333333333,1.4068310292324007,0.8333333333333334,466.0423076886397,0.2954190081444763,0.5333333333333333,0.25
