,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,5c8e9e97112f870001b12bb9,Reward_Animals,Animal,Ph1,High Reward,0.8461538461538461,4.13789204433464,0.8,509.70833332588273,0.6531358206273197,0.8461538461538461,0.0
1,5c8e9e97112f870001b12bb9,Reward_Animals,Object,Ph1,Low Reward,0.8333333333333334,4.0770825955185535,0.7333333333333333,499.0416666691502,0.6794631539695699,0.8333333333333334,0.0
2,5c8e9e97112f870001b12bb9,Reward_Animals,Animal,Ph2,High Reward,0.3333333333333333,2.5687808965207077,0.7333333333333333,444.6625000014901,1.378537586668149,0.3333333333333333,0.0
3,5c8e9e97112f870001b12bb9,Reward_Animals,Object,Ph2,Low Reward,0.7272727272727273,3.665561402483706,0.8333333333333334,447.6600000071526,0.8608812637288018,0.7272727272727273,0.0
0,5b70252c99982e000145ccf7,Reward_Objects,Object,Ph1,High Reward,0.6952380952380953,2.8732258162473747,0.5666666666666667,420.6052631579928,0.3686602509019393,0.7666666666666667,0.07142857142857142
1,5b70252c99982e000145ccf7,Reward_Objects,Animal,Ph1,Low Reward,0.5438596491228069,2.2632369580270675,0.7333333333333333,447.05833333327126,0.365170610843115,0.6666666666666666,0.12280701754385964
2,5b70252c99982e000145ccf7,Reward_Objects,Object,Ph2,High Reward,0.761904761904762,3.123996806670461,0.9666666666666667,378.4733333331843,0.24890611329191098,0.8333333333333334,0.07142857142857142
3,5b70252c99982e000145ccf7,Reward_Objects,Animal,Ph2,Low Reward,0.8105263157894738,3.3699669831227874,0.9333333333333333,392.92413793106016,-0.17000871253116878,0.9333333333333333,0.12280701754385964
0,5b1bcd1d88ee7400012b0707,Reward_Animals,Animal,Ph1,High Reward,0.63,2.522116604845405,0.7666666666666667,486.91666666418314,0.2502485209350043,0.75,0.12
1,5b1bcd1d88ee7400012b0707,Reward_Animals,Object,Ph1,Low Reward,0.5125,2.0828015140726523,0.7666666666666667,497.52499999354285,0.18137302315541765,0.7,0.1875
2,5b1bcd1d88ee7400012b0707,Reward_Animals,Animal,Ph2,High Reward,0.8030769230769231,3.303920744916334,0.8333333333333334,509.1785714221852,-0.12554504010337852,0.9230769230769231,0.12
