,UserID,Condition,Value
0,5c8e9e97112f870001b12bb9,Overall PC,0.6623931623931624
1,5c8e9e97112f870001b12bb9,Age,34
2,5c8e9e97112f870001b12bb9,Sex,SexFemale
3,5c8e9e97112f870001b12bb9,Bonus,0
4,5c8e9e97112f870001b12bb9,Overall Match Accuracy,0.775
5,5c8e9e97112f870001b12bb9,Overall Match RT,474.98350515562237
6,5c8e9e97112f870001b12bb9,CR Overall,0.33145780051150897
7,5c8e9e97112f870001b12bb9,HR Overall,0.47058823529411764
8,5c8e9e97112f870001b12bb9,FA Overall,0.1391304347826087
9,5c8e9e97112f870001b12bb9,CR Overall High Reward,0.38983050847457623
10,5c8e9e97112f870001b12bb9,CR Overall Low Reward,0.27261904761904765
11,5c8e9e97112f870001b12bb9,CR Ph1 High Reward,0.4813559322033898
12,5c8e9e97112f870001b12bb9,CR Ph1 Low Reward,0.27261904761904765
13,5c8e9e97112f870001b12bb9,CR Ph2 High Reward,0.29514903565166567
14,5c8e9e97112f870001b12bb9,CR Ph2 Low Reward,0.27261904761904765
15,5c8e9e97112f870001b12bb9,DP Overall,1.6756227078541994
16,5c8e9e97112f870001b12bb9,DP Overall High Reward,1.872879533629254
17,5c8e9e97112f870001b12bb9,DP Overall Low Reward,1.4782167197610807
18,5c8e9e97112f870001b12bb9,DP Ph1 High Reward,2.1064375531838695
19,5c8e9e97112f870001b12bb9,DP Ph1 Low Reward,1.4782167197610807
20,5c8e9e97112f870001b12bb9,DP Ph2 High Reward,1.6272385495745554
21,5c8e9e97112f870001b12bb9,DP Ph2 Low Reward,1.4782167197610807
22,5c8e9e97112f870001b12bb9,Memory Test RT,3255.215384616047
23,5c8e9e97112f870001b12bb9,Rewarded Category,Animal
24,5c8e9e97112f870001b12bb9,End Survey,"{""Q0"":""Some what.  Because the experiment had to be done at a specific time the day after, I figured there would be some element of memory."",""Q1"":""Yes"",""Q2"":""No""}"
0,5b70252c99982e000145ccf7,Overall PC,0.8481012658227848
1,5b70252c99982e000145ccf7,Age,31
2,5b70252c99982e000145ccf7,Sex,SexMale
3,5b70252c99982e000145ccf7,Bonus,5.25
4,5b70252c99982e000145ccf7,Overall Match Accuracy,0.8
5,5b70252c99982e000145ccf7,Overall Match RT,406.56764705879067
6,5b70252c99982e000145ccf7,CR Overall,0.6974358974358975
7,5b70252c99982e000145ccf7,HR Overall,0.8
8,5b70252c99982e000145ccf7,FA Overall,0.10256410256410256
9,5b70252c99982e000145ccf7,CR Overall High Reward,0.7152542372881356
10,5b70252c99982e000145ccf7,CR Overall Low Reward,0.6793103448275862
11,5b70252c99982e000145ccf7,CR Ph1 High Reward,0.6819209039548023
12,5b70252c99982e000145ccf7,CR Ph1 Low Reward,0.5459770114942528
13,5b70252c99982e000145ccf7,CR Ph2 High Reward,0.748587570621469
14,5b70252c99982e000145ccf7,CR Ph2 Low Reward,0.8126436781609195
15,5b70252c99982e000145ccf7,DP Overall,2.7861000505759157
16,5b70252c99982e000145ccf7,DP Overall High Reward,2.8963527351645486
17,5b70252c99982e000145ccf7,DP Overall Low Reward,2.688258611905374
18,5b70252c99982e000145ccf7,DP Ph1 High Reward,2.778963083623698
19,5b70252c99982e000145ccf7,DP Ph1 Low Reward,2.2737267990082612
20,5b70252c99982e000145ccf7,DP Ph2 High Reward,3.0276266925620856
21,5b70252c99982e000145ccf7,DP Ph2 Low Reward,3.381336820502604
22,5b70252c99982e000145ccf7,Memory Test RT,3175.125316456023
23,5b70252c99982e000145ccf7,Rewarded Category,Object
24,5b70252c99982e000145ccf7,End Survey,"{""Q0"":""not at all surprised"",""Q1"":""not particularly"",""Q2"":""no sorry haha""}"
0,5b1bcd1d88ee7400012b0707,Overall PC,0.6820083682008368
1,5b1bcd1d88ee7400012b0707,Age,25
2,5b1bcd1d88ee7400012b0707,Sex,SexMale
3,5b1bcd1d88ee7400012b0707,Bonus,0
4,5b1bcd1d88ee7400012b0707,Overall Match Accuracy,0.7666666666666667
5,5b1bcd1d88ee7400012b0707,Overall Match RT,491.2622448954047
6,5b1bcd1d88ee7400012b0707,CR Overall,0.3631652661064426
7,5b1bcd1d88ee7400012b0707,HR Overall,0.5798319327731093
8,5b1bcd1d88ee7400012b0707,FA Overall,0.21666666666666667
9,5b1bcd1d88ee7400012b0707,CR Overall High Reward,0.48333333333333334
10,5b1bcd1d88ee7400012b0707,CR Overall Low Reward,0.2406779661016949
11,5b1bcd1d88ee7400012b0707,CR Ph1 High Reward,0.4333333333333333
12,5b1bcd1d88ee7400012b0707,CR Ph1 Low Reward,0.3
13,5b1bcd1d88ee7400012b0707,CR Ph2 High Reward,0.5333333333333334
14,5b1bcd1d88ee7400012b0707,CR Ph2 Low Reward,0.17931034482758618
15,5b1bcd1d88ee7400012b0707,DP Overall,1.649130605055082
16,5b1bcd1d88ee7400012b0707,DP Overall High Reward,1.9716822114179762
17,5b1bcd1d88ee7400012b0707,DP Overall Low Reward,1.333599333584166
18,5b1bcd1d88ee7400012b0707,DP Ph1 High Reward,1.827793664796058
19,5b1bcd1d88ee7400012b0707,DP Ph1 Low Reward,1.4975934557905362
20,5b1bcd1d88ee7400012b0707,DP Ph2 High Reward,2.1271537051208878
21,5b1bcd1d88ee7400012b0707,DP Ph2 Low Reward,1.1490981849920126
22,5b1bcd1d88ee7400012b0707,Memory Test RT,3409.729288702979
23,5b1bcd1d88ee7400012b0707,Rewarded Category,Animal
24,5b1bcd1d88ee7400012b0707,End Survey,"{""Q0"":""not very, I thought it might be something similar"",""Q1"":""yes"",""Q2"":""no""}"
0,62fb7b54ec4bc537f3efe2de,Overall PC,0.680672268907563
1,62fb7b54ec4bc537f3efe2de,Age,23
2,62fb7b54ec4bc537f3efe2de,Sex,SexMale
3,62fb7b54ec4bc537f3efe2de,Bonus,5.25
