,UserID,Condition,Value
24,5a00e6da120fb300019480b3,End Survey,"{""Q0"":"" a little bit"",""Q1"":""yes"",""Q2"":""no""}"
24,60643609392011e61880900d,End Survey,"{""Q0"":""50:50 "",""Q1"":""Yes "",""Q2"":""Day 1""}"
24,62a0d3f66ad9919c9cd8d8e8,End Survey,"{""Q0"":""6/10"",""Q1"":""yes"",""Q2"":""no ""}"
24,5fe713f850a71950564282c7,End Survey,"{""Q0"":""a bit"",""Q1"":""yes"",""Q2"":""animals""}"
24,5c9322e9d2c77700010668b3,End Survey,"{""Q0"":""a little bit "",""Q1"":""yes"",""Q2"":""no""}"
24,60d60ba4fd799e149121b85b,End Survey,"{""Q0"":""A little bit surprised."",""Q1"":""Yes"",""Q2"":""No.""}"
24,6151b15badc7d7045dbbb210,End Survey,"{""Q0"":""a little bit surprised"",""Q1"":""I did notice yes"",""Q2"":""I have no idea""}"
24,601d10cca1fb4b04cde830ea,End Survey,"{""Q0"":""A little bit surprised"",""Q1"":""Yes, I did eventually notice this"",""Q2"":""No, I didn't notice.""}"
24,5797564b70c76a0001245734,End Survey,"{""Q0"":""A little bit, it was harder than I expected."",""Q1"":""yes"",""Q2"":""no""}"
24,62fb7b54ec4bc537f3efe2de,End Survey,"{""Q0"":""A little bit"",""Q1"":""Yes"",""Q2"":""Not at the time, my gut feeling is objects though.""}"
24,63e64f39956f8fe1af81883e,End Survey,"{""Q0"":""A little suprised I think I did better than I thought I would"",""Q1"":""I did not notice until answering this question "",""Q2"":""no, I was too focused on not failing""}"
24,5efa27ec1c76730eff3dad8e,End Survey,"{""Q0"":""A little surprised and also surprised at how many I remembered."",""Q1"":""Yes"",""Q2"":""No""}"
24,5eee623e39386710454df7ad,End Survey,"{""Q0"":""A little surprised, but I was not really sure what to expect. "",""Q1"":""After a while, I did notice this. "",""Q2"":""I don't think I noticed this trend. ""}"
24,5f806bf37f20b20843d5e9ce,End Survey,"{""Q0"":""A little surprised"",""Q1"":""Yes, I noticed it in the first trial."",""Q2"":""No.""}"
24,5f2aa1f221e0b130418a9093,End Survey,"{""Q0"":""A little surprised"",""Q1"":""yes"",""Q2"":""no""}"
24,5ebed2706c113a28c66ad396,End Survey,"{""Q0"":""A little, because I didn't remember as many images as I thought I would."",""Q1"":""Yes"",""Q2"":""No""}"
24,63e540a2ddc805d6dae9b23a,End Survey,"{""Q0"":""A little, but I think it made sense. I wonder why it said old and new, rather than yesterday and today? "",""Q1"":""Yes"",""Q2"":""Animals. ""}"
24,63d1590f1a0901cc2e861c32,End Survey,"{""Q0"":""a little, but it makes sense"",""Q1"":""yes"",""Q2"":""no""}"
24,5ba641d1168e5e0001e4275d,End Survey,"{""Q0"":""A little, especially when weird looking insects popped up."",""Q1"":""Yes! "",""Q2"":""The biological or 'animals' had the higher reward, whereas the manmade 'machine' / 'tools' were the lower reward.""}"
24,62aa33eec600b41d4dc4b4e8,End Survey,"{""Q0"":""A little. I didn't expect it but not the most surprising thing in the world"",""Q1"":""No I didn't."",""Q2"":""No I didn't notice""}"
24,5b6cd747a1fda800015ff9ba,End Survey,"{""Q0"":""a little"",""Q1"":""yes"",""Q2"":""no""}"
24,5d2b020653a8240001152207,End Survey,"{""Q0"":""a little"",""Q1"":""yes"",""Q2"":""no""}"
24,5c8e1261692c610018e14db1,End Survey,"{""Q0"":""a little"",""Q1"":""yes"",""Q2"":""not sure""}"
24,5b44a4d396bc8a0001a9c4db,End Survey,"{""Q0"":""A little"",""Q1"":""Yes"",""Q2"":""Objects were higher, animals were lower""}"
24,62e291ef3aeb2fead2b1c47e,End Survey,"{""Q0"":""A little"",""Q1"":""Yes"",""Q2"":""Yes the animals were lower catergory""}"
24,5c3ef42b82596200019d75c0,End Survey,"{""Q0"":""a little"",""Q1"":""yes"",""Q2"":""yes""}"
24,57f18e976c19420001438a1b,End Survey,"{""Q0"":""A small amount "",""Q1"":""Yes "",""Q2"":""No""}"
24,6143dfe5993ba7d00b23d2c6,End Survey,"{""Q0"":""Didn't expect it at all"",""Q1"":""Yes"",""Q2"":""No""}"
24,63e8a2bdc94f25264db1b8d8,End Survey,"{""Q0"":""Fairly suprised."",""Q1"":""Yes i did. It was obvious which one was harder"",""Q2"":""No""}"
24,627e1a670e22288b334ebf9d,End Survey,"{""Q0"":""fairly surprised but felt i remember most things"",""Q1"":""yes"",""Q2"":""yes the animals""}"
24,63d7e609051bf50f9d1dcd35,End Survey,"{""Q0"":""Fairly surprised, had no clue that there would be one."",""Q1"":""Yes"",""Q2"":""No""}"
24,62fd350caefba1a1ec979664,End Survey,"{""Q0"":""Fairly surprised"",""Q1"":""No"",""Q2"":""No""}"
24,5f4eb1a2c296ed0e5a786977,End Survey,"{""Q0"":""Fairly surprised"",""Q1"":""Yes"",""Q2"":""Animals""}"
24,6384cefbecdecb6ae3e3641b,End Survey,"{""Q0"":""Fairly surprised"",""Q1"":""Yes"",""Q2"":""I think it was the objects, but I cannot remember. ""}"
